route,family,comparison,control_run_id,quantity,axis,scope,control,candidate,relative_change,noninferior_2pct
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,Y,P90,0.09219668493286488,0.08994208248024098,-0.024454268114581845,True
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,Y,worst,0.09375191797837103,0.09160930560668208,-0.022854064406269026,True
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,Z,pooled,0.051272265780472955,0.053407233965534255,0.04163982520691345,False
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,Z,P90,0.06355932970204102,0.06821864814333506,0.07330660129891875,False
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,Z,worst,0.06493711518977914,0.06968604685876177,0.07313123866226334,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,pooled,0.09478433259659812,0.10455487484895501,0.1030818278157879,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,P90,0.1120042279625976,0.1152654574703999,0.029117021447541802,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,worst,0.11399370061135357,0.1158830874099682,0.01657448427835706,True
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,pooled,0.0654745635200335,0.07464073223965328,0.13999587361609778,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,P90,0.09435738207872574,0.11534185970983488,0.2223935972873965,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,worst,0.0968227117963329,0.11606493851767595,0.1987367051009601,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,pooled,0.057015633938485334,0.07169714315372881,0.2574997101862182,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,P90,0.06529385630206506,0.08098262489944134,0.24027939971559142,False
R3,GRAPH_NEURAL_GALERKIN,physics_vs_best_available_control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,worst,0.0682811489542114,0.08191013571871672,0.19960101687282328,False
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,pooled,0.09486139603323494,0.09715969446570467,0.024227963413742337,False
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,P90,0.10844065554707526,0.1121670219272217,0.034363185664520346,False
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,worst,0.10907198199311005,0.11219045223589608,0.028590937707384967,False
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,pooled,0.066476162184645,0.06580237916671261,-0.010135708738132077,True
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,P90,0.10059382916424484,0.09666024948449167,-0.039103588286023006,True
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,worst,0.10283992584434688,0.09905089359449686,-0.036843980766622764,True
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,pooled,0.056767060378138993,0.054670525662760684,-0.03693224030648745,True
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,P90,0.07076439968924106,0.06546373987386064,-0.07490574128598626,True
R4,PORT_HAMILTONIAN_OPINF,physics_vs_best_available_control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,worst,0.07191969893532404,0.06583728614947856,-0.08457227819203295,True
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,pooled,0.09425685490753205,0.09910713987139115,0.05145816682104809,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,P90,0.10874994960990444,0.11558182573058519,0.0628218784945398,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,X,worst,0.10939026326730028,0.11911628593958323,0.08891122831030174,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,pooled,0.06514332187230287,0.07396023108669553,0.13534632501050514,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,P90,0.09489716517507525,0.10081217806454558,0.06233076487119238,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Y,worst,0.09731108122219448,0.10096721010178912,0.0375715574595914,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,pooled,0.05316151006834092,0.05475544245803142,0.029982827569071002,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,P90,0.06838186184274628,0.07233548908008751,0.05781689955200631,False
R5,ROTATION_MULTISCALE_GNO,physics_vs_best_available_control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,displacement,Z,worst,0.06846042031530314,0.07314475201213853,0.0684239400702058,False
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,X,pooled,0.09440974280718654,0.09823736973068938,0.040542711055997716,False
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,X,P90,0.10806955411512624,0.10663691582068742,-0.013256631862408108,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,X,worst,0.10967490471888869,0.10747151600643841,-0.020090181232414572,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,Y,pooled,0.06505979869015233,0.06468448136764514,-0.005768805469175242,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,Y,P90,0.10218493647300929,0.09997855352387222,-0.021592056767778645,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,Y,worst,0.10451510969598267,0.10028689656888908,-0.040455520157733904,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,Z,pooled,0.052063766354670034,0.051596938268717106,-0.008966467826641455,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,Z,P90,0.06524128473453372,0.06179976887977225,-0.05275058375635877,True
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics_vs_best_available_control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,displacement,Z,worst,0.06738623137013103,0.06191507546233229,-0.08119100588586747,True
