trial_id,variant,quantity,view,model,axis,case_count,pooled_relative_l2,mean_relative_l2,median_relative_l2,p90_relative_l2,worst_relative_l2,mean_rmse,mean_mae,mean_nrmse,mean_r2,mean_peak_amplitude_relative_error,mean_peak_time_abs_error_s
R6_LHS_04,physics,displacement,incremental,S10,Y,64,0.049961493324951284,0.05047024960523325,0.047400512323698005,0.08531626549985095,0.10691553802309398,0.0006940897437154831,0.00037399794252662076,0.0054048028296309475,0.996922013088702,0.05221607959038668,0.13593750000000004
R6_LHS_04,physics,displacement,incremental,B2,Y,64,0.02975722127091477,0.030940231891614763,0.030381373818217587,0.04085088857359957,0.043751501193503226,0.00042818517686313236,0.00023261409468883627,0.003300902711313956,0.9989527964083144,0.01615540614037033,0.018749999999999656
R6_LHS_04,physics,displacement,incremental,S10,Z,64,0.04913154379805075,0.04638700087407404,0.03989345293073246,0.08114800250926817,0.10213687560080655,0.0006969156570869738,0.00046127815988945234,0.010050717497818024,0.9940806432475695,0.036748856537848845,0.2019531250000001
R6_LHS_04,physics,displacement,incremental,B2,Z,64,0.04524229056213449,0.04974898960344576,0.05039492858444661,0.0688108835654065,0.07918174644291572,0.0007256060741069488,0.0004760855267943444,0.010356749125576839,0.9950270796371884,0.014021018674928594,0.2402343750000002
R6_LHS_04,physics,displacement,total,S10_HYBRID,X,68,0.019971402869226825,0.06127433364595391,0.03358379199535549,0.1278244948277508,0.3819923878453377,0.00010499714044505753,5.4010792046756184e-05,0.0050720129812620975,0.9913108892328,0.018355031641916646,0.20477941176470593
R6_LHS_04,physics,displacement,total,B2,X,68,0.01814026582695039,0.0556123915459219,0.030282538145069343,0.12245315969919927,0.3819923878453377,9.480009953441817e-05,4.6729377667381214e-05,0.004634425635153428,0.9923782463791182,0.013368644876060319,0.17610294117647066
R6_LHS_04,physics,displacement,total,S10_HYBRID,Y,68,0.03552656369935689,0.0338811027923786,0.03330499953437785,0.04626807321433652,0.05870802479730657,0.0007915472124117278,0.00042032089561332055,0.005137131044876468,0.9985013736032149,0.03786584489656738,0.4290441176470588
R6_LHS_04,physics,displacement,total,B2,Y,68,0.02493080638792909,0.023622556344310732,0.021546622418989504,0.03729696768613176,0.0457175689909722,0.000547718153764175,0.000287857075751486,0.003637628778665955,0.9992419762069493,0.015641679784466435,0.3330882352941173
R6_LHS_04,physics,displacement,total,S10_HYBRID,Z,68,0.040822682484914885,0.04027478103977212,0.03575991850093537,0.06289058058768145,0.08872039747646343,0.0007750789545708426,0.0005048821062188016,0.010511783566800062,0.9929472905576973,0.0338569123102349,0.36764705882352944
R6_LHS_04,physics,displacement,total,B2,Z,68,0.0371812033501441,0.03995341345936107,0.040204832860819585,0.055133474835479535,0.06418285574239974,0.0007536197583237025,0.0004993448802811815,0.010185268563248749,0.9939952970509864,0.016757218506566012,0.3415441176470588
R6_LHS_04,physics,velocity,incremental,S10,X,64,0.456233186443053,0.4374659729197301,0.4100247056731765,0.5930271342482757,0.6524375751977092,0.0005170969336277162,0.0002894645211583424,0.008937422889170776,0.7987229725028624,0.0900924805662071,5.0375
R6_LHS_04,physics,velocity,incremental,S10,Y,64,0.23497047338465518,0.2576039608513622,0.2550247347894586,0.33197459685081365,0.35480534552350246,0.002179306348271395,0.000887894849241394,0.004725460376464444,0.9310432666970188,0.09669571241789357,5.3640625
R6_LHS_04,physics,velocity,incremental,S10,Z,64,0.23709232651868026,0.24055834894898692,0.23613688535374538,0.27885945694181574,0.3550977900702375,0.0017029668094791658,0.0006658764344101648,0.002830462254112328,0.9408702322212954,0.10067767409104647,2.12890625
R6_LHS_04,control,displacement,incremental,S10,X,64,0.07149478784082781,0.07762738587284733,0.07324726583245894,0.10655828101730375,0.12568190246161715,8.525280585352017e-05,4.6113306984775555e-05,0.005891126398581968,0.9934692761155797,0.029326919934297705,0.16992187499999992
R6_LHS_04,control,displacement,incremental,B2,X,64,0.06497085990036514,0.0741550185731855,0.07178993203579533,0.10808340636735056,0.13800193841239855,7.840233852058239e-05,4.10382675934579e-05,0.005622063810895545,0.993800620714067,0.017805254760139073,0.12773437499999996
R6_LHS_04,control,displacement,incremental,S10,Y,64,0.048278043256582075,0.049619034980132044,0.04909977790761137,0.06427049070294429,0.07537923237953355,0.0006895563436403859,0.0003485971545523742,0.005287964125411905,0.997286616425904,0.03372671964967705,0.13749999999999998
R6_LHS_04,control,displacement,incremental,B2,Y,64,0.02975722127091477,0.030940231891614763,0.030381373818217587,0.04085088857359957,0.043751501193503226,0.00042818517686313236,0.00023261409468883627,0.003300902711313956,0.9989527964083144,0.01615540614037033,0.018749999999999656
R6_LHS_04,control,displacement,incremental,S10,Z,64,0.04287584849152477,0.04639443589433603,0.04227463660103505,0.07094861529257093,0.10492281851580153,0.0006687510825360734,0.00042685851836388704,0.009611476594034399,0.9953661977481534,0.03706506825004095,0.1761718749999999
R6_LHS_04,control,displacement,incremental,B2,Z,64,0.04524229056213449,0.04974898960344576,0.05039492858444661,0.0688108835654065,0.07918174644291572,0.0007256060741069488,0.0004760855267943444,0.010356749125576839,0.9950270796371884,0.014021018674928594,0.2402343750000002
R6_LHS_04,control,displacement,total,S10_HYBRID,X,68,0.020593488200967538,0.06182942556069487,0.03876433048232077,0.12669411937777467,0.3819923878453377,0.00010745807645510657,5.368404971832892e-05,0.005110929084729792,0.9912357129576693,0.020975397997034226,0.20882352941176485
R6_LHS_04,control,displacement,total,B2,X,68,0.01814026582695039,0.0556123915459219,0.030282538145069343,0.12245315969919927,0.3819923878453377,9.480009953441817e-05,4.6729377667381214e-05,0.004634425635153428,0.9923782463791182,0.013368644876060319,0.17610294117647066
R6_LHS_04,control,displacement,total,S10_HYBRID,Y,68,0.03491122472074128,0.03367568698348783,0.03334958229315947,0.04411374964816894,0.054411103797256874,0.0007872520955181869,0.00039567934613082633,0.005071590117591314,0.998555303914439,0.026799728390759166,0.42720588235294116
R6_LHS_04,control,displacement,total,B2,Y,68,0.02493080638792909,0.023622556344310732,0.021546622418989504,0.03729696768613176,0.0457175689909722,0.000547718153764175,0.000287857075751486,0.003637628778665955,0.9992419762069493,0.015641679784466435,0.3330882352941173
R6_LHS_04,control,displacement,total,S10_HYBRID,Z,68,0.036560651261819586,0.03946058258348907,0.03750683967569657,0.06225474481063088,0.0796327626964394,0.0007383432814508121,0.0004676987331331278,0.010033795952983662,0.9940042181681676,0.028948038180194504,0.3621323529411764
R6_LHS_04,control,displacement,total,B2,Z,68,0.0371812033501441,0.03995341345936107,0.040204832860819585,0.055133474835479535,0.06418285574239974,0.0007536197583237025,0.0004993448802811815,0.010185268563248749,0.9939952970509864,0.016757218506566012,0.3415441176470588
R6_LHS_04,control,velocity,incremental,S10,X,64,0.4767596681436505,0.4541392305423959,0.42292368080392007,0.6065388069649945,0.7199752738279129,0.0005378106367232155,0.00029983261910235763,0.009293078591830517,0.7818661525284938,0.08915396047182152,4.6703125000000005
R6_LHS_04,control,velocity,incremental,S10,Y,64,0.23302270529313202,0.2557869079652575,0.2498491884058354,0.33421210057277645,0.36890199871463075,0.002161742312073154,0.0009120932273778187,0.004695821490038228,0.9318999909748574,0.09625572697273047,5.750390625
R6_LHS_04,control,velocity,incremental,S10,Z,64,0.25417582762112406,0.25791360419351994,0.25620087612536335,0.30014739975306975,0.3702749173311509,0.0018263237808950595,0.0008432873423877638,0.0030260775431709525,0.9321477352876,0.1032744841383042,1.6667968749999997
