trial_id,variant,case_id,base_case_id,active_train_load,quantity,axis,view,model,relative_l2,squared_error_sum,target_squared_sum,absolute_error_sum,sample_count,rmse,mae,nrmse,r2,correlation,peak_amplitude_relative_error,peak_time_abs_error_s,predicted_peak_node_zero_based,target_peak_node_zero_based
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,X,total,S10_HYBRID,0.2824886377266512,0.0022900981761372957,0.028698033108296606,15.24047319839254,614912,6.1026795552532666e-05,2.4784803676611516e-05,0.03512041970323439,0.9110377428945838,0.9585376516036249,2.9231623393795374e-07,0.0,437,437
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,X,total,B2,0.2824886377266512,0.0022900981761372957,0.028698033108296606,15.24047319839254,614912,6.1026795552532666e-05,2.4784803676611516e-05,0.03512041970323439,0.9110377428945838,0.9585376516036249,2.9231623393795374e-07,0.0,437,437
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,velocity,X,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Y,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Y,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Y,total,S10_HYBRID,0.013812016458342754,0.020875418383796206,109.42612342081159,52.02559795526678,614912,0.0001842515330181191,8.46065745265449e-05,0.004349010017439173,0.9997419173663279,0.99987096569521,0.0,0.0,236,236
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Y,total,B2,0.013812016458342754,0.020875418383796206,109.42612342081159,52.02559795526678,614912,0.0001842515330181191,8.46065745265449e-05,0.004349010017439173,0.9997419173663279,0.99987096569521,0.0,0.0,236,236
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,velocity,Y,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Z,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Z,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Z,total,S10_HYBRID,0.021125046135150295,0.014748942595741048,33.049550198166415,55.03056669529158,614912,0.0001548723750241929,8.949340181244077e-05,0.009272662827078532,0.9948102635971754,0.9974129457788741,0.0011388691667242536,0.0,226,226
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,Z,total,B2,0.021125046135150295,0.014748942595741048,33.049550198166415,55.03056669529158,614912,0.0001548723750241929,8.949340181244077e-05,0.009272662827078532,0.9948102635971754,0.9974129457788741,0.0011388691667242536,0.0,226,226
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,velocity,Z,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,X,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,X,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,X,total,S10_HYBRID,0.010386019742683697,0.003773519296354958,34.982294173540694,19.83399588219446,614912,7.833697612380044e-05,3.225501516020904e-05,0.0006039797037093078,0.9998921214526842,0.9999460773296196,0.0008912141217260607,0.0,433,433
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,X,total,B2,0.010386019742683697,0.003773519296354958,34.982294173540694,19.83399588219446,614912,7.833697612380044e-05,3.225501516020904e-05,0.0006039797037093078,0.9998921214526842,0.9999460773296196,0.0008912141217260607,0.0,433,433
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,velocity,X,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Y,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Y,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Y,total,S10_HYBRID,0.016387305142959996,0.029463404102217865,109.71546321421448,59.67652776129418,614912,0.00021889456424438783,9.704889116051432e-05,0.005035441171544898,0.9996370429941858,0.9998202843632266,0.018257946585132405,8.3,433,236
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Y,total,B2,0.016387305142959996,0.029463404102217865,109.71546321421448,59.67652776129418,614912,0.00021889456424438783,9.704889116051432e-05,0.005035441171544898,0.9996370429941858,0.9998202843632266,0.018257946585132405,8.3,433,236
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,velocity,Y,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Z,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Z,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C8_0T,BASE_C8_0T,False,displacement,Z,total,S10_HYBRID,0.027174860055504388,0.02449150092924713,33.1650585707382,70.27626446716764,614912,0.00019957273835734753,0.00011428670194624212,0.009672085782025127,0.9917183625445402,0.995899557889191,0.021539451981879964,1.6500000000000004,443,443
