outer_fold,inner_fold,component,rank,train_cases,validation_cases,pooled_relative_l2_floor,median_case_relative_l2_floor,p90_case_relative_l2_floor,worst_case_relative_l2_floor,selection_use
1,3,u_X_transverse,16,40,14,0.010553156917611283,0.018640768018799467,0.07245741524734532,0.07491573909857455,INNER_ONLY
1,3,u_X_transverse,32,40,14,0.003954885964040352,0.008113319675564425,0.023797344604465274,0.024794157637113068,INNER_ONLY
1,3,u_X_transverse,64,40,14,0.0007350242004399904,0.0016022320511359601,0.004279084720185534,0.004288879802665351,INNER_ONLY
1,3,u_X_transverse,96,40,14,0.0002831365863023574,0.0005811587100570956,0.0017681564703353224,0.0017737868843150032,INNER_ONLY
1,3,u_X_transverse,128,40,14,0.00020570446877162516,0.00042940768054680124,0.0012435797844736814,0.00124849027731141,INNER_ONLY
1,3,v_Y_vertical,16,40,14,0.014007376925372806,0.01388094779525419,0.01551631787293026,0.01605248392024143,INNER_ONLY
1,3,v_Y_vertical,32,40,14,0.005090341052990379,0.0052639530804816405,0.005512183286381461,0.005570357241068851,INNER_ONLY
1,3,v_Y_vertical,64,40,14,0.0012287404257934923,0.0012031015508863437,0.0013354170272463746,0.0014215839290611864,INNER_ONLY
1,3,v_Y_vertical,96,40,14,0.000405556659575689,0.00039053525592989686,0.00046213609375568023,0.0004900265070701035,INNER_ONLY
1,3,v_Y_vertical,128,40,14,0.0002907519034916296,0.00027844877871810697,0.0003310702027832607,0.000362005573247822,INNER_ONLY
1,3,w_Z_longitudinal,16,40,14,0.003535607484067695,0.004008477742641086,0.004980510969740827,0.005071292400252204,INNER_ONLY
1,3,w_Z_longitudinal,32,40,14,0.000932577629011759,0.0010759266957024542,0.001476505342616325,0.0015048391114117006,INNER_ONLY
1,3,w_Z_longitudinal,64,40,14,0.0002594618224961343,0.0002852021485433943,0.00040227363373667845,0.0004056959465369039,INNER_ONLY
1,3,w_Z_longitudinal,96,40,14,0.00022834655355931214,0.0002479407109248591,0.0003550174257982965,0.00035628505470656726,INNER_ONLY
1,3,w_Z_longitudinal,128,40,14,0.0002107515336974332,0.0002272772322230221,0.00033053192105099487,0.0003429874567898228,INNER_ONLY
2,0,u_X_transverse,16,41,13,0.010319049591513507,0.028646150780899052,0.06976954863614285,0.07492718391435234,INNER_ONLY
2,0,u_X_transverse,32,41,13,0.00391290472642907,0.012308651751781582,0.02042018653993797,0.025302297908984347,INNER_ONLY
2,0,u_X_transverse,64,41,13,0.0007163381288860882,0.002597573565783892,0.0039264675428370786,0.007211241403197123,INNER_ONLY
2,0,u_X_transverse,96,41,13,0.00030005918287846035,0.0010124235253135747,0.0017230272967338788,0.0036386917605596893,INNER_ONLY
2,0,u_X_transverse,128,41,13,0.0002133841152796454,0.0007277672850584847,0.0011828765592648677,0.002553032445892616,INNER_ONLY
2,0,v_Y_vertical,16,41,13,0.013950924735369056,0.013675961580740928,0.015383329526160899,0.015694782936291854,INNER_ONLY
2,0,v_Y_vertical,32,41,13,0.0050031480821983495,0.004919102797560707,0.005562863440661172,0.0056139825620734095,INNER_ONLY
2,0,v_Y_vertical,64,41,13,0.0012041081723321578,0.0011886211832249588,0.0013101719695563217,0.0013269987447077501,INNER_ONLY
2,0,v_Y_vertical,96,41,13,0.00038658210843827144,0.0003673576563217476,0.00044419463213165217,0.00045874972501696443,INNER_ONLY
2,0,v_Y_vertical,128,41,13,0.00026836103596884764,0.00025285006672067536,0.00030765271437077044,0.00033856149709770265,INNER_ONLY
2,0,w_Z_longitudinal,16,41,13,0.0034751450303356335,0.0032588748937693863,0.005097344296605531,0.00527325844153495,INNER_ONLY
2,0,w_Z_longitudinal,32,41,13,0.0009205503472251674,0.001150321025917552,0.001481259209691868,0.0015332076807668673,INNER_ONLY
2,0,w_Z_longitudinal,64,41,13,0.000264757231417238,0.0002663839026247886,0.00040291267483806705,0.0004201120493423717,INNER_ONLY
2,0,w_Z_longitudinal,96,41,13,0.00023661391550967831,0.00025002197985305726,0.000354956038237382,0.00037412070775969116,INNER_ONLY
2,0,w_Z_longitudinal,128,41,13,0.0002177270293500682,0.00023675327926883923,0.0003240597892353127,0.00033833977100963185,INNER_ONLY
2,1,u_X_transverse,16,40,14,0.01004402828377295,0.01996097944442384,0.06855816529606956,0.07021588268291548,INNER_ONLY
2,1,u_X_transverse,32,40,14,0.0038688309598514654,0.008303869241141034,0.021940918391422225,0.022805394952451746,INNER_ONLY
