trial_id,variant,case_id,model,quantity,axis,node_relative_l2_median,node_relative_l2_p90,node_relative_l2_worst,node_relative_metrics_defined,valid_energy_node_count,predicted_hotspot_node_zero_based,target_hotspot_node_zero_based,hotspot_distance_m
R4_LHS_03,physics,V52_A_E2_C5_2T,S10,velocity,X,0.6606243550777435,0.9311359822750092,1.034674048423767,True,496,50,493,8.86000000000001
COMMON_B2,common,V52_A_E2_C5_2T,B2,displacement,X,0.01419403962790966,0.028186604380607605,0.06104900687932968,True,496,36,36,0.0
R4_LHS_03,physics,V52_A_E2_C5_2T,S10_HYBRID,displacement,Y,0.035461485385894775,0.16111789643764496,0.46270716190338135,True,496,280,280,0.0
R4_LHS_03,physics,V52_A_E2_C5_2T,S10,velocity,Y,0.19066433608531952,0.4259819835424423,1.0777448415756226,True,496,266,266,0.0
COMMON_B2,common,V52_A_E2_C5_2T,B2,displacement,Y,0.03866663575172424,0.07497384771704674,0.19250106811523438,True,496,280,280,0.0
R4_LHS_03,physics,V52_A_E2_C5_2T,S10_HYBRID,displacement,Z,0.032844556495547295,0.05721124894917012,1.6010606288909912,True,508,443,443,0.0
R4_LHS_03,physics,V52_A_E2_C5_2T,S10,velocity,Z,0.1264619305729866,0.2372719153761864,2.1353421211242676,True,508,265,265,0.0
COMMON_B2,common,V52_A_E2_C5_2T,B2,displacement,Z,0.048695316538214684,0.060338642448186874,0.10619021207094193,True,508,443,443,0.0
R4_LHS_03,physics,V52_B_E2_C5_2T,S10_HYBRID,displacement,X,0.017527743242681026,0.03810204938054085,0.08000530302524567,True,496,36,36,0.0
R4_LHS_03,physics,V52_B_E2_C5_2T,S10,velocity,X,0.6110604405403137,0.7247083187103271,0.9268525242805481,True,496,50,441,135.25712142434497
COMMON_B2,common,V52_B_E2_C5_2T,B2,displacement,X,0.020502290688455105,0.036849215626716614,0.08318981528282166,True,496,36,36,0.0
R4_LHS_03,physics,V52_B_E2_C5_2T,S10_HYBRID,displacement,Y,0.041859595105051994,0.15717314928770065,0.4623035788536072,True,496,306,280,1.034716823373547
R4_LHS_03,physics,V52_B_E2_C5_2T,S10,velocity,Y,0.19009380042552948,0.42219921946525574,1.0966203212738037,True,496,266,198,1.2691934446726394
COMMON_B2,common,V52_B_E2_C5_2T,B2,displacement,Y,0.047786906361579895,0.0982089452445507,0.2053316980600357,True,496,280,280,0.0
R4_LHS_03,physics,V52_B_E2_C5_2T,S10_HYBRID,displacement,Z,0.04134543053805828,0.0591495055705309,0.7073032855987549,True,508,1,443,8.86000000000001
R4_LHS_03,physics,V52_B_E2_C5_2T,S10,velocity,Z,0.12685471773147583,0.23030110299587253,1.4310816526412964,True,508,265,265,0.0
COMMON_B2,common,V52_B_E2_C5_2T,B2,displacement,Z,0.0626952238380909,0.0749458521604538,0.12244396656751633,True,508,1,443,8.86000000000001
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,S10_HYBRID,displacement,X,0.02227610070258379,0.045943453907966614,0.09537042677402496,True,496,208,208,0.0
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,S10,velocity,X,0.5669775903224945,0.7144680917263031,0.9041488766670227,True,496,50,50,0.0
COMMON_B2,common,V52_CPLUS_E2_C5_2T,B2,displacement,X,0.020619855262339115,0.048742976039648056,0.1061355471611023,True,496,208,208,0.0
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,S10_HYBRID,displacement,Y,0.03260764665901661,0.14488325268030167,0.4076794683933258,True,496,280,280,0.0
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,S10,velocity,Y,0.18834546208381653,0.4752843528985977,1.385746717453003,True,496,266,266,0.0
COMMON_B2,common,V52_CPLUS_E2_C5_2T,B2,displacement,Y,0.026195310056209564,0.06429003551602364,0.16650483012199402,True,496,280,280,0.0
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,S10_HYBRID,displacement,Z,0.028836828656494617,0.05412849597632886,1.2551239728927612,True,508,443,1,8.86000000000001
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,S10,velocity,Z,0.13278785347938538,0.23246034234762197,1.488905906677246,True,508,265,265,0.0
COMMON_B2,common,V52_CPLUS_E2_C5_2T,B2,displacement,Z,0.04689989611506462,0.05858350954949856,0.09947634488344193,True,508,443,1,8.86000000000001
R4_LHS_03,physics,V52_C_E2_C5_2T,S10_HYBRID,displacement,X,0.02087302040308714,0.0385112464427948,0.08122909814119339,True,496,36,36,0.0
R4_LHS_03,physics,V52_C_E2_C5_2T,S10,velocity,X,0.6143214106559753,0.8637272715568542,0.9778003096580505,True,496,50,50,0.0
