trial_id,variant,case_id,model,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,Y,1.3982045770444385,0.09991673605328841,0.09991673605328841,0.0,0.9663974046707153,-0.002911010291427374,True,True,496
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,Y,2.6311332562520318,0.06661115736885893,0.06661115736885893,0.0,0.9992525577545166,0.0,True,True,496
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Z,3.9967854464020087,0.06661115736885893,0.06661115736885893,0.0,0.9989475607872009,0.0,True,True,508
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,Z,2.123671793432184,0.09991673605328841,0.09991673605328841,0.0,0.9941374063491821,0.011694218032062054,True,True,508
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,Z,6.109462498471359,0.06661115736885893,0.06661115736885893,0.0,0.999557375907898,0.0,True,True,508
R4_LHS_03,physics,V40_C_E1_C4_2T,S10_HYBRID,displacement,X,2.7949109333219377,0.06661115736885893,0.09991673605328841,0.033305578684429474,0.96835857629776,0.0,True,True,496
R4_LHS_03,physics,V40_C_E1_C4_2T,S10,velocity,X,1.2409024967600546,0.13322231473771787,0.13322231473771787,0.0,0.8946117162704468,0.007722772192209959,True,True,496
COMMON_B2,common,V40_C_E1_C4_2T,B2,displacement,X,1.4480396899439558,0.06661115736885893,0.06661115736885893,0.0,0.9774280190467834,0.0,True,True,496
R4_LHS_03,physics,V40_C_E1_C4_2T,S10_HYBRID,displacement,Y,3.156775676977204,0.06661115736885893,0.06661115736885893,0.0,0.9895340204238892,0.0,True,True,496
R4_LHS_03,physics,V40_C_E1_C4_2T,S10,velocity,Y,1.5957641466405954,0.09991673605328841,0.09991673605328841,0.0,0.9747642278671265,0.02165829949080944,True,True,496
COMMON_B2,common,V40_C_E1_C4_2T,B2,displacement,Y,2.4189059128792008,0.06661115736885893,0.06661115736885893,0.0,0.9942269921302795,0.0,True,True,496
R4_LHS_03,physics,V40_C_E1_C4_2T,S10_HYBRID,displacement,Z,3.771997606107242,0.06661115736885893,0.06661115736885893,0.0,0.9930106401443481,0.0,True,True,508
R4_LHS_03,physics,V40_C_E1_C4_2T,S10,velocity,Z,2.3887067426024484,0.09991673605328841,0.09991673605328841,0.0,0.994958221912384,0.004637126810848713,True,True,508
COMMON_B2,common,V40_C_E1_C4_2T,B2,displacement,Z,5.596711746368599,0.06661115736885893,0.06661115736885893,0.0,0.9929171800613403,0.0,True,True,508
R4_LHS_03,physics,V52_A_E1_C4_2T,S10_HYBRID,displacement,X,2.4490026137404524,0.09991673605328841,0.06661115736885893,0.033305578684429474,0.9907550811767578,-0.0014206160558387637,True,True,496
R4_LHS_03,physics,V52_A_E1_C4_2T,S10,velocity,X,1.1277697250099217,0.16652789342214733,0.16652789342214733,0.0,0.9233159422874451,-0.017419414594769478,True,True,496
