trial_id,variant,case_id,axis,derivative_vs_velocity_relative_l2,model
R4_LHS_03,physics,V40_A_E6_C10_1T,Z,0.8333754487585657,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E7_C11_2T,X,0.9262559639144262,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E7_C11_2T,Y,0.8709944228431573,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E7_C11_2T,Z,0.9313263775102306,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E8_C12_2T,X,0.8598260735900505,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E8_C12_2T,Y,0.6818458575987212,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E8_C12_2T,Z,0.7839449099861288,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E1_C4_2T,X,0.8952361733893822,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E1_C4_2T,Y,0.7110936076807883,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E1_C4_2T,Z,0.8373588085214521,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E2_C5_2T,X,0.8943543207319276,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E2_C5_2T,Y,0.7735682221846306,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E2_C5_2T,Z,0.8695453124182015,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E3_C6_1T,X,0.8572007472838925,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E3_C6_1T,Y,1.003178806343634,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E3_C6_1T,Z,0.9376252072144734,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E4_C7_1T,X,0.874382649171079,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E4_C7_1T,Y,1.0271693975028438,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E4_C7_1T,Z,0.9764742799595164,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E5_C9_1T,X,0.9106646617524492,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E5_C9_1T,Y,1.0725208004915332,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E5_C9_1T,Z,0.945724240621968,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E6_C10_1T,X,0.8290348727320014,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E6_C10_1T,Y,0.8937836718481413,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E6_C10_1T,Z,0.7862681907756716,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E7_C11_2T,X,0.8796685875341523,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E7_C11_2T,Y,0.7661679287329298,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E7_C11_2T,Z,0.8596018903441259,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E8_C12_2T,X,0.8283918080547317,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E8_C12_2T,Y,0.7487280478529584,R4_LHS_03-physics
R4_LHS_03,physics,V40_B_E8_C12_2T,Z,0.8749152261940543,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,X,0.8984224141093828,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,Y,0.7000688069402846,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,Z,0.8097922443875758,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,X,0.8877613834247804,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,Y,0.7483484639773778,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,Z,0.8662878751888223,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E3_C6_1T,X,0.8757828770591267,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E3_C6_1T,Y,1.0448368465732685,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E3_C6_1T,Z,0.968636009087774,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E4_C7_1T,X,0.8600310933559324,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E4_C7_1T,Y,0.9516640653889614,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E4_C7_1T,Z,0.9685659717883552,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E5_C9_1T,X,0.8811943283393519,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E5_C9_1T,Y,1.0408865750769267,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E5_C9_1T,Z,1.074998150883809,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E6_C10_1T,X,0.8890577576237453,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E6_C10_1T,Y,1.0441846306089109,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E6_C10_1T,Z,0.98675202867001,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E7_C11_2T,X,0.8983852799716605,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E7_C11_2T,Y,0.785568669078857,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E7_C11_2T,Z,0.8589934578871581,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E8_C12_2T,X,0.9222959624139314,R4_LHS_03-physics
R4_LHS_03,physics,V40_CPLUS_E8_C12_2T,Y,0.7394186673177203,R4_LHS_03-physics
