trial_id,seed,observation_node_zero_based,X_m,Y_m,Z_m,axis,node_relative_l2
R4_LHS_03,20260813,27,-8.336,-8.09209277502036,-50.21261058463801,Z,0.025748481371708085
R4_LHS_03,20260813,28,-8.336,-8.09209277502036,-41.732610584638,X,0.010545761129394376
R4_LHS_03,20260813,28,-8.336,-8.09209277502036,-41.732610584638,Y,0.02597992547552071
R4_LHS_03,20260813,28,-8.336,-8.09209277502036,-41.732610584638,Z,0.026636724430706152
R4_LHS_03,20260813,29,-8.336,-7.34997818573109,-112.34280195832201,X,0.030832900244932543
R4_LHS_03,20260813,29,-8.336,-7.34997818573109,-112.34280195832201,Y,0.028099400119971505
R4_LHS_03,20260813,29,-8.336,-7.34997818573109,-112.34280195832201,Z,0.028521797997659346
R4_LHS_03,20260813,30,-8.336,-7.243434126254979,-22.55165343389877,X,0.02928106805771151
R4_LHS_03,20260813,30,-8.336,-7.243434126254979,-22.55165343389877,Y,0.041738892290081465
R4_LHS_03,20260813,30,-8.336,-7.243434126254979,-22.55165343389877,Z,0.027859529691344212
R4_LHS_03,20260813,31,-8.336,-6.024666874978031,-113.655680997913,X,0.032261284999599245
R4_LHS_03,20260813,31,-8.336,-6.024666874978031,-113.655680997913,Y,0.02744434555441303
R4_LHS_03,20260813,31,-8.336,-6.024666874978031,-113.655680997913,Z,0.027875519169920464
R4_LHS_03,20260813,32,-8.336,-6.024666874978042,-21.34431900208669,X,0.033488001812425956
R4_LHS_03,20260813,32,-8.336,-6.024666874978042,-21.34431900208669,Y,0.04234445915220595
R4_LHS_03,20260813,32,-8.336,-6.024666874978042,-21.34431900208669,Z,0.029304050812503087
R4_LHS_03,20260813,33,-8.336,-5.272321071848141,-114.400969314281,X,0.0335844019688089
R4_LHS_03,20260813,33,-8.336,-5.272321071848141,-114.400969314281,Y,0.02748115659916697
R4_LHS_03,20260813,33,-8.336,-5.272321071848141,-114.400969314281,Z,0.02625758147226787
R4_LHS_03,20260813,34,-8.336,-5.27232107184816,-20.5990306857192,X,0.037068438564973036
R4_LHS_03,20260813,34,-8.336,-5.27232107184816,-20.5990306857192,Y,0.042941122298203384
R4_LHS_03,20260813,34,-8.336,-5.27232107184816,-20.5990306857192,Z,0.02833832828598112
R4_LHS_03,20260813,35,-8.336,-4.069989131117052,-116.12447173277292,X,0.03664469673599695
R4_LHS_03,20260813,35,-8.336,-4.069989131117052,-116.12447173277292,Y,0.027521821038635774
R4_LHS_03,20260813,35,-8.336,-4.069989131117052,-116.12447173277292,Z,0.025356222150734756
R4_LHS_03,20260813,36,-8.336,-4.04604638751018,-67.50000000000001,X,0.00948587587755603
R4_LHS_03,20260813,36,-8.336,-4.04604638751018,-67.50000000000001,Y,0.022527305957555036
R4_LHS_03,20260813,36,-8.336,-4.04604638751018,-67.50000000000001,Z,0.028969745440832428
R4_LHS_03,20260813,37,-8.336,-3.9937907436917572,-18.76630044039858,X,0.04415729080905397
R4_LHS_03,20260813,37,-8.336,-3.9937907436917572,-18.76630044039858,Y,0.044024741110734886
R4_LHS_03,20260813,37,-8.336,-3.9937907436917572,-18.76630044039858,Z,0.025191083397983604
R4_LHS_03,20260813,38,-8.336,-3.25661797523893,-117.29041194179298,X,0.04191779428127888
R4_LHS_03,20260813,38,-8.336,-3.25661797523893,-117.29041194179298,Y,0.027881076839363864
R4_LHS_03,20260813,38,-8.336,-3.25661797523893,-117.29041194179298,Z,0.022241971420596033
R4_LHS_03,20260813,39,-8.336,-2.8884544137981085,-16.6237681019201,X,0.048051869229166835
R4_LHS_03,20260813,39,-8.336,-2.8884544137981085,-16.6237681019201,Y,0.0473201575021567
R4_LHS_03,20260813,39,-8.336,-2.8884544137981085,-16.6237681019201,Z,0.025886105959236055
R4_LHS_03,20260813,40,-8.336,-2.4747264620992246,-119.59643431211104,X,0.04031416033560048
R4_LHS_03,20260813,40,-8.336,-2.4747264620992246,-119.59643431211104,Y,0.030990583136097535
R4_LHS_03,20260813,40,-8.336,-2.4747264620992246,-119.59643431211104,Z,0.029508507309447606
R4_LHS_03,20260813,41,-8.336,-2.226,-135.0,X,0.0
R4_LHS_03,20260813,41,-8.336,-2.226,-135.0,Y,1.0
R4_LHS_03,20260813,41,-8.336,-2.226,-135.0,Z,0.03228812307240375
R4_LHS_03,20260813,42,-8.336,-2.226,-125.44,X,0.051671107630087844
R4_LHS_03,20260813,42,-8.336,-2.226,-125.44,Y,0.037315150007179054
R4_LHS_03,20260813,42,-8.336,-2.226,-125.44,Z,0.028279041489175316
R4_LHS_03,20260813,43,-8.336,-2.226,-14.34,X,0.05183732636136842
R4_LHS_03,20260813,43,-8.336,-2.226,-14.34,Y,0.053756771103330186
R4_LHS_03,20260813,43,-8.336,-2.226,-14.34,Z,0.025163365622030285
R4_LHS_03,20260813,44,-8.336,-2.226,-7.17,X,0.06189738480665841
R4_LHS_03,20260813,44,-8.336,-2.226,-7.17,Y,0.06265932536324731
R4_LHS_03,20260813,44,-8.336,-2.226,-7.17,Z,0.025582679373493903
R4_LHS_03,20260813,45,-8.336,-2.226,0.0,X,1.0
R4_LHS_03,20260813,45,-8.336,-2.226,0.0,Y,0.0
R4_LHS_03,20260813,45,-8.336,-2.226,0.0,Z,0.027199763475108447
R4_LHS_03,20260813,46,-8.336,-1.1129999999999824,-131.41500000000002,X,0.06472965817174865
R4_LHS_03,20260813,46,-8.336,-1.1129999999999824,-131.41500000000002,Y,0.042550089638890135
R4_LHS_03,20260813,46,-8.336,-1.1129999999999824,-131.41500000000002,Z,0.026684550651707956
R4_LHS_03,20260813,47,-8.336,-1.1130000000000004,-121.69000000000001,X,0.03475409999247855
R4_LHS_03,20260813,47,-8.336,-1.1130000000000004,-121.69000000000001,Y,0.03350652613156679
R4_LHS_03,20260813,47,-8.336,-1.1130000000000004,-121.69000000000001,Z,0.027786693959934078
R4_LHS_03,20260813,48,-8.336,-1.112999999999997,-13.310000000000002,X,0.04147648891211725
R4_LHS_03,20260813,48,-8.336,-1.112999999999997,-13.310000000000002,Y,0.05488080393542152
R4_LHS_03,20260813,48,-8.336,-1.112999999999997,-13.310000000000002,Z,0.024041747077806572
R4_LHS_03,20260813,49,-8.336,-1.1129999999999947,-3.584999999999996,X,0.07039525902117778
R4_LHS_03,20260813,49,-8.336,-1.1129999999999947,-3.584999999999996,Y,0.06632541970877989
R4_LHS_03,20260813,49,-8.336,-1.1129999999999947,-3.584999999999996,Z,0.02379861813224394
R4_LHS_03,20260813,50,-8.336,2.6484591469634303e-14,-135.0,X,0.11609898514656786
R4_LHS_03,20260813,50,-8.336,2.6484591469634303e-14,-135.0,Y,0.09435214468705395
R4_LHS_03,20260813,50,-8.336,2.6484591469634303e-14,-135.0,Z,0.02335809071398212
R4_LHS_03,20260813,51,-8.336,2.6484591469634303e-14,-127.83,X,0.0854204318736309
R4_LHS_03,20260813,51,-8.336,2.6484591469634303e-14,-127.83,Y,0.039153407399145745
R4_LHS_03,20260813,51,-8.336,2.6484591469634303e-14,-127.83,Z,0.024108773554536493
R4_LHS_03,20260813,52,-8.336,2.2848999697380665e-14,-120.16734200000002,X,0.059180113480746255
R4_LHS_03,20260813,52,-8.336,2.2848999697380665e-14,-120.16734200000002,Y,0.0321872634562218
R4_LHS_03,20260813,52,-8.336,2.2848999697380665e-14,-120.16734200000002,Z,0.025685505176800162
R4_LHS_03,20260813,53,-8.336,2.0298431699777173e-14,-110.40064703722899,X,0.04087774213866183
