trial_context,seed,case_id,axis,model,frequency_hz,target_psd,predicted_psd,coherence,phase_rad
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.7651956702747618,7.622080744340565e-09,6.106957606277774e-09,0.8582995843132966,-0.028432520897727086
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.7985012489591912,5.478394626834415e-09,5.546760828423203e-09,0.8425662990017397,-0.04885058099208712
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.8318068276436206,1.0948908446550831e-09,1.3951191313310574e-09,0.826833013690183,-0.06926864108644715
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.8651124063280502,2.0837187530986512e-10,1.7874313140708864e-09,0.8110997283786261,-0.08968670118080732
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.8984179850124796,5.904890354457848e-09,6.144553754694471e-09,0.8037079031719554,-0.1008256261208274
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.931723563696909,3.525505576362775e-08,1.4756993849118771e-08,0.7998380277873475,-0.10804669399568183
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.9650291423813386,3.8024214887855123e-08,2.9082183772288772e-08,0.7959681524027397,-0.1152677618705363
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.998334721065768,5.086929633080217e-08,2.7648408007507896e-08,0.7920982770181317,-0.12248882974539074
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.0316402997501974,1.2810509097960221e-08,4.138705822498423e-09,0.7878706204107064,-0.12943938525578166
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.064945878434627,2.3552533257031882e-09,7.736363771826404e-10,0.7534700806790048,-0.11357673136308027
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.0982514571190563,1.0478937717550707e-09,3.267406067930523e-10,0.7190695409473037,-0.09771407747037908
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.131557035803486,1.2808936133978932e-09,4.815333687346879e-10,0.684669001215602,-0.08185142357767769
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.1648626144879155,9.245112453371007e-10,6.568650068317083e-10,0.6502684614839004,-0.0659887696849763
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.1981681931723447,3.58826940383139e-10,2.5948621029669994e-10,0.6148444497019525,-0.05078141013475186
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.2314737718567743,2.3653715097715633e-10,9.211503781969554e-11,0.5772486801548463,-0.03696455321368524
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.264779350541204,3.5164415823629724e-10,2.0797411015571754e-10,0.5396529106077402,-0.02314769629261862
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.298084929225633,4.679135967577963e-10,1.9010804042096652e-10,0.5020571410606346,-0.009330839371552178
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.3313905079100627,4.569904454854168e-10,6.986322631519215e-11,0.4644613715135285,0.004486017549514443
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.364696086594492,3.0855096255777426e-10,1.9406036499969304e-10,0.4747787682738132,0.0034964688798470337
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.3980016652789216,2.6265287167426266e-10,3.402905179861193e-10,0.5133679091285211,-0.006229778740874558
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.431307243963351,1.5536313902053678e-10,2.7574525995888166e-10,0.5519570499832289,-0.015956026361596154
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.4646128226477804,1.8433722603905522e-10,2.0590489036020898e-10,0.5905461908379364,-0.025682273982317615
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.49791840133221,5.261290847435873e-10,3.1997715588261144e-10,0.6291353316926442,-0.03540852160303921
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.5312239800166396,5.402067126958343e-10,6.56360354955865e-10,0.7041087934218485,-0.031355738546776785
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.564529558701069,8.470031898077934e-10,5.702259775475227e-10,0.7815078765426847,-0.02638435344538223
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.5978351373854984,1.663136073304372e-09,9.537682865712327e-10,0.8589069596635219,-0.021412968343987617
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.631140716069928,1.7508597904836165e-09,1.7777610494817964e-09,0.9363060427843591,-0.016441583242593
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.6644462947543572,3.3328264592569212e-09,3.9031440302039755e-09,0.9949170436886923,-0.011938996019220273
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.697751873438787,6.07047967449148e-09,6.194630586264793e-09,0.9959709038345343,-0.008872567374549226
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.7310574521232165,1.3962334399764131e-08,1.258559123584746e-08,0.9970247639803763,-0.0058061387298781785
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.7643630308076457,3.069645515552111e-08,3.032870310448743e-08,0.9980786241262184,-0.0027397100852071723
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.7976686094920753,7.780304400739624e-08,7.625669695698889e-08,0.9991324842720604,0.0003267185594638747
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.8309741881765045,2.2308911695745337e-07,2.1410147610367858e-07,0.9996368278075416,0.0015696770422196288
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.864279766860934,6.829853305134748e-07,6.960656264709542e-07,0.9997000101206205,0.001348722859775858
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.8975853455453637,2.475250312272692e-06,2.5018289306899533e-06,0.9997631924336995,0.0011277686773320872
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.930890924229793,9.061555829248391e-06,9.10979724721983e-06,0.9998263747467784,0.0009068144948883194
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.9641965029142225,2.681023943296168e-05,2.702954770938959e-05,0.9998895570598574,0.0006858603124445487
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,2.997502081598652,4.244058800395578e-05,4.2788269638549536e-05,0.9998906821533603,0.0006108496316900929
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.0308076602830814,2.7152771508553997e-05,2.740189665928483e-05,0.9998819791804147,0.0005589521751850746
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.064113238967511,8.690010872669518e-06,8.773466106504202e-06,0.9998732762074689,0.0005070547186800556
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.0974188176519406,2.13756311495672e-06,2.1677446966350544e-06,0.9998645732345232,0.00045515726217503665
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.13072439633637,5.265115987640456e-07,5.418953605840215e-07,0.9998102203495397,0.0003221462891036926
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.1640299750207994,1.4877952025926788e-07,1.4535463321863062e-07,0.9995359178883746,-0.0002016843546962865
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.197335553705229,4.534545894330222e-08,4.312021317787185e-08,0.9992616154272094,-0.0007255149984962657
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.230641132389658,1.5417242593684932e-08,1.509541824873395e-08,0.9989873129660441,-0.001249345642296238
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.263946711074088,6.08822237069262e-09,5.969280181261638e-09,0.998713010504879,-0.001773176286096217
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.297252289758517,2.581419300540233e-09,2.8653088790520087e-09,0.9918731384531445,-0.002563263637034667
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.3305578684429467,1.2893655032542028e-09,1.3268163234769759e-09,0.9779339106652659,-0.0036412545818708345
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.3638634471273763,5.255957891137086e-10,5.899764565775456e-10,0.9639946828773872,-0.004719245526707001
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.3971690258118055,3.904429834999945e-10,4.0674630330528316e-10,0.9500554550895087,-0.005797236471543154
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.430474604496235,2.0001340861330874e-10,2.2718257830511845e-10,0.9361162273016301,-0.006875227416379322
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.4637801831806647,1.3935833043099422e-10,1.2480021183147727e-10,0.9034098525726226,-0.006851650270432554
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.497085761865094,2.959264777668835e-10,1.1017653456235621e-10,0.8656865177702446,-0.006533594525959668
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.5303913405495235,3.1734140315542447e-10,1.0764514973837791e-10,0.8279631829678662,-0.0062155387814867786
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.563696919233953,3.2389183002301536e-10,1.0100484337804971e-10,0.7902398481654879,-0.005897483037013889
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.5970024979183823,2.3888852007658556e-10,2.4022275835200446e-10,0.749001756868791,-0.0020501820632657743
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.630308076602812,2.410348032277909e-10,4.836901990046272e-10,0.6752873155645877,0.034407344828984346
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.663613655287241,2.2778730290884397e-10,3.6614453136074587e-10,0.6015728742603854,0.07086487172123397
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.6969192339716708,6.966004856279184e-11,1.1101271985003436e-10,0.5278584329561822,0.1073223986134841
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.7302248126561004,1.4405062212508035e-11,4.3146146377903705e-11,0.4541439916519789,0.1437799255057342
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.7635303913405296,2.1948351122680343e-11,6.184203843462299e-11,0.4178184902886368,0.13136591331150782
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.796835970024959,5.18172033059372e-11,6.473132446727092e-11,0.4361383626850123,0.04752426706781725
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.830141548709389,5.0173712407008964e-11,3.3482897010550516e-11,0.45445823508138783,-0.036317379175873354
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.863447127393818,2.7683575917758496e-11,2.5048484120215875e-11,0.4727781074777631,-0.1201590254195628
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.8967527060782476,3.9821656389049664e-11,2.1194296317972317e-11,0.4910979798741386,-0.20400067166325342
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.9300582847626773,3.079368010583394e-11,2.5050185883945808e-11,0.5013916700904714,-0.24320495364370226
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,3.9633638634471064,1.4322171920655435e-11,3.240838847284877e-11,0.5084836592185904,-0.2646030739235144
