case_id,B2__X,B2__Y,B2__Z,R4_LHS_03-control__X,R4_LHS_03-control__Y,R4_LHS_03-control__Z,R4_LHS_03-physics__X,R4_LHS_03-physics__Y,R4_LHS_03-physics__Z
V40_B_E5_C9_1T,0.0181244696969846,0.0377914752605204,0.0361206042629056,0.0210550694172401,0.0595288193581838,0.0432278268219293,0.018815384844171,0.0462874029182862,0.0301405441141963
V52_CPLUS_E7_C11_2T,0.0183835037168174,0.0325633786483264,0.0507516445021193,0.0225360079698,0.043184685718748,0.057861754212121,0.0235591730674493,0.0404095406903128,0.0497322898584992
V40_A_E2_C5_2T,0.0144126610406102,0.0204085872892391,0.0520954932858128,0.0144357996585484,0.0312722674424989,0.0447516149371291,0.0143950007543344,0.0470615404606789,0.0570832323064019
V40_C_E2_C5_2T,0.0179309059411931,0.0202660996169389,0.0479776476636626,0.0158679354668207,0.0321852307812248,0.046118494145814,0.0161772418933679,0.0422495012619636,0.0538105516528334
V52_A_E7_C11_2T,0.0102846463286023,0.0183773311580603,0.0523002051881152,0.0095740163329564,0.0276997184043492,0.04170465859434,0.0107727628170521,0.0322177830414433,0.03666138066274
V40_A_E4_C7_1T,0.0144412594534159,0.04176768385825,0.0400043608507785,0.0133140049138572,0.051929385769455,0.0351653288113825,0.0114837846014703,0.0380049726388363,0.0249632299963294
V52_C_E6_C10_1T,0.0449451253603992,0.0232188295706581,0.0361047895523892,0.0433345030129895,0.0204216183806458,0.0133098886594353,0.0517452370541912,0.0257622495831354,0.0176500232304065
V40_B_E6_C10_1T,0.0443163753342851,0.016911060467914,0.0279287074158589,0.0506083776690613,0.0208359825521308,0.0126943171143474,0.0453640619248921,0.024269784643851,0.0174787469657679
V52_CPLUS_E2_C5_2T,0.0135765758165387,0.0197808198032857,0.045075154200648,0.0192584539702172,0.0341865898811606,0.0487189065717258,0.0142388926328801,0.025104588962641,0.0321896145583841
V40_A_E7_C11_2T,0.0112767343436194,0.0163251642070361,0.0480408263221472,0.0137343105971515,0.0246830651855637,0.0313701597431563,0.0136361740382845,0.0367094194911017,0.0420191140604823
V52_A_E2_C5_2T,0.0085689416530541,0.0266608759511425,0.0477115887719182,0.0082312098048812,0.0250378148742856,0.0344374460910018,0.0081287610346996,0.0270709573238427,0.037537520512994
V52_CPLUS_E6_C10_1T,0.0426355253434537,0.027396459447861,0.0353064796350224,0.0468566700335612,0.032478998731716,0.036977134964594,0.042081306526355,0.028392085382714,0.0265967133957738
V40_CPLUS_E2_C5_2T,0.0129340649496193,0.0166432159148154,0.0462968790344179,0.0099782123203044,0.023874237338517,0.0279937600967167,0.0159205110608259,0.0426831215061628,0.0410554240577135
V52_C_E2_C5_2T,0.013039009550446,0.0161296359320312,0.0382049864229527,0.0170120320542401,0.0318408724742677,0.0452877181181125,0.0133428971166603,0.0251110510280406,0.0303180622122589
V52_C_E7_C11_2T,0.0095915941891393,0.0168978265904404,0.0436860318428297,0.011583776158309,0.0239432266761099,0.0270521456409506,0.0147704322482445,0.0321468544324719,0.0358684384492142
V40_B_E7_C11_2T,0.010289809221058,0.0146809738129966,0.0402421009756937,0.0122608549119744,0.0299609092924006,0.0431700973406686,0.0112765822564567,0.0233687374978528,0.0270210190819037
V52_C_E5_C9_1T,0.0110753295515351,0.021857681628318,0.0253693239995561,0.012036506254154,0.0412297646492269,0.0305218356145365,0.0123507516944302,0.0422439841000591,0.0271041016026559
V40_C_E5_C9_1T,0.0126873787238819,0.019727919065917,0.0304579347644715,0.0134187427104576,0.0412753113964437,0.0393672687035406,0.0107510831288386,0.0289862147107137,0.0235086753248054
V40_CPLUS_E5_C9_1T,0.0119273142598934,0.0286921766457425,0.0401675647459453,0.0154001078483294,0.041056901037924,0.0297422522739133,0.0142472056351673,0.0378098191750662,0.0243930611079713
V52_C_E4_C7_1T,0.0179164153449813,0.0233541110055906,0.0280416779635503,0.015320480093893,0.0325889304142005,0.0229748434325621,0.0160914336621744,0.0407492756009014,0.027660435823141
V40_C_E4_C7_1T,0.0113947784954585,0.018166848283414,0.0255075784548667,0.0147286627131293,0.0392262988693498,0.0401183446479925,0.0138765375541915,0.0283087812890063,0.0219008465347518
V52_A_E5_C9_1T,0.0066864958344469,0.0172404082485203,0.0252050485071845,0.0118937125473204,0.0342964828496925,0.0394347437065408,0.0089505978596367,0.0236441780809744,0.0178856285645012
V52_A_E4_C7_1T,0.0087983736040489,0.0142916348650669,0.0224960609889055,0.0112675877263292,0.0350993410419328,0.0392097602201574,0.0091272117369535,0.023310319590384,0.0183431453381255
V40_B_E2_C5_2T,0.0125255159896059,0.0148374368625395,0.0391384856479254,0.0108427193252496,0.0242624217275815,0.0273453206237566,0.0139651765320533,0.0385877989308235,0.0362506608119515
V52_B_E4_C7_1T,0.0152592955077533,0.0231275738798292,0.0288030834178835,0.0137950811282637,0.032541912871141,0.0238603359941942,0.0149484477829152,0.0388184447049274,0.0248540964542412
V52_CPLUS_E5_C9_1T,0.0154082298422024,0.0227205796778119,0.0362107532898626,0.013200534301591,0.0289626958028007,0.0247529487246595,0.0140267065092911,0.0379387561605232,0.0267242168529628
V52_CPLUS_E4_C7_1T,0.0101104834812733,0.0214778683547728,0.0260813113434541,0.0115096254727151,0.0322280460423526,0.0367916374105464,0.0104179003775109,0.0305460667584128,0.0271515101712787
V40_CPLUS_E4_C7_1T,0.0108043757429732,0.0216153764832061,0.0348486089058284,0.0104230038899562,0.0261039367551654,0.0202478440996575,0.0183114091542778,0.0353443482723887,0.022752023859113
V40_B_E4_C7_1T,0.0093463615997384,0.0208772247599637,0.0244278155243742,0.0101013539695422,0.0278887847670018,0.0310668445603706,0.0093299517175859,0.025043694353229,0.0166565584905668
V52_B_E5_C9_1T,0.0104897363036897,0.0189686450426631,0.0306738570898285,0.0116422534506034,0.0222013841826444,0.0148316478865366,0.0151514109418799,0.0243964264319588,0.0162827792013831
BASE_C8_0T,0.0103860197426836,0.0163873051429599,0.0271748600555043,0.0103860197426836,0.0163873051429599,0.0271748600555043,0.0103860197426836,0.0163873051429599,0.0271748600555043
