evidence,FEM_mode,graph_mode,value,trial_id,mode,seed,case_id,admitted_modes,response_subspace_MAC_mean,response_subspace_MAC_min
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E5_C9_1T,10.0,0.826896035281781,0.1087004904517469
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E5_C9_1T,11.0,0.8045617611850545,0.0791560715414217
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E5_C9_1T,10.0,0.8350055706279911,0.2393047113981911
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E5_C9_1T,10.0,0.8038673374645112,0.06437316770041594
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E6_C10_1T,10.0,0.7285011022860196,0.01098337286097906
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E6_C10_1T,10.0,0.7850698537393122,0.24196344898423938
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E6_C10_1T,10.0,0.6865633452228445,0.032947806818392676
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E6_C10_1T,10.0,0.686261453832664,0.03983921550147412
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E6_C10_1T,10.0,0.7616653173699584,0.14472020375251096
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E6_C10_1T,10.0,0.7365836572848308,0.05446873332853337
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E6_C10_1T,10.0,0.7089904837051351,0.08593433632511124
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E6_C10_1T,10.0,0.7545893263576257,0.11114440102852158
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E7_C11_2T,11.0,0.8093750853808366,0.1890195825495012
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E7_C11_2T,10.0,0.8581029319411394,0.169554664342571
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E7_C11_2T,10.0,0.8396271678051784,0.16181654667199458
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E7_C11_2T,10.0,0.8346791782305566,0.1592873294991954
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E7_C11_2T,11.0,0.8401388089232877,0.29603614174128345
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E7_C11_2T,11.0,0.779554198852383,0.026898853580584185
