trial_id,seed,case_id,axis,node_zero_based,FEM_peak_time_s,time_s,model,displacement_m
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.1,physics,0.0010566627606749535
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.125,physics,0.0010474342852830887
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.1500000000000001,physics,0.0010447805980220437
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.175,physics,0.0010543132666498423
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.0,control,0.000966800784226507
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.025,control,0.000979273347184062
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.05,control,0.0010844841599464417
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.07500000000000001,control,0.0010602684924378991
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.1,control,0.0010900056222453713
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.125,control,0.0011357588227838278
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.15000000000000002,control,0.0011832290329039097
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.17500000000000002,control,0.0011947540333494544
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.2,control,0.0011624613543972373
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.225,control,0.0011189578799530864
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.25,control,0.0010835517896339297
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.275,control,0.0010780602460727096
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.30000000000000004,control,0.001106321346014738
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.325,control,0.0011127201141789556
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.35000000000000003,control,0.0011067825835198164
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.375,control,0.0011150130303576589
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.4,control,0.0011323196813464165
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.42500000000000004,control,0.001135427039116621
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.45,control,0.0011189482174813747
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.47500000000000003,control,0.0010993066243827343
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.5,control,0.0010722295846790075
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.525,control,0.0010376176796853542
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.55,control,0.0010091321310028434
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.5750000000000001,control,0.0010028292890638113
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.6000000000000001,control,0.0010226989397779107
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.625,control,0.0010577199282124639
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.65,control,0.0010999003425240517
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.675,control,0.0011390561703592539
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.7000000000000001,control,0.0011652469402179122
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.7250000000000001,control,0.0011763335205614567
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.75,control,0.001174480770714581
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.775,control,0.0011624885955825448
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.8,control,0.0011403579264879227
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.8250000000000001,control,0.0011140531860291958
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.8500000000000001,control,0.0010916119208559394
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.875,control,0.0010755507973954082
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.9,control,0.001067869015969336
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.925,control,0.0010727036278694868
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.9500000000000001,control,0.00108950468711555
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.9750000000000001,control,0.0011072620982304215
