feature,fold,repeat,delta_MAE,baseline_MAE
learning_rate,0,6,0.037735262687207366,0.1318489606058634
learning_rate,0,7,0.09092628775502468,0.1318489606058634
learning_rate,0,8,0.07510438693936383,0.1318489606058634
learning_rate,0,9,0.1343174730404457,0.1318489606058634
learning_rate,0,10,0.08489014149291726,0.1318489606058634
learning_rate,0,11,0.10076935937240047,0.1318489606058634
learning_rate,0,12,0.03642059946836351,0.1318489606058634
learning_rate,0,13,0.057810895923159245,0.1318489606058634
learning_rate,0,14,0.10789623134443618,0.1318489606058634
learning_rate,0,15,0.12269740025144096,0.1318489606058634
learning_rate,0,16,0.12898434236632386,0.1318489606058634
learning_rate,0,17,0.08612545757206802,0.1318489606058634
learning_rate,0,18,0.132390805651691,0.1318489606058634
learning_rate,0,19,0.09940254678760038,0.1318489606058634
learning_rate,0,20,0.04263510026692319,0.1318489606058634
learning_rate,0,21,0.036722326173576875,0.1318489606058634
learning_rate,0,22,0.09754829485579364,0.1318489606058634
learning_rate,0,23,0.08575584226743563,0.1318489606058634
learning_rate,0,24,0.13523428263678258,0.1318489606058634
learning_rate,0,25,0.06062308354980203,0.1318489606058634
learning_rate,0,26,0.13354485725611284,0.1318489606058634
learning_rate,0,27,0.029553486316973715,0.1318489606058634
learning_rate,0,28,0.09097501312377912,0.1318489606058634
learning_rate,0,29,0.1038513657200153,0.1318489606058634
weight_decay,0,0,0.002849100313423447,0.1318489606058634
weight_decay,0,1,-0.009418696326300907,0.1318489606058634
weight_decay,0,2,-0.004128430324047444,0.1318489606058634
weight_decay,0,3,-0.0025759824817998267,0.1318489606058634
weight_decay,0,4,-0.005173655265037852,0.1318489606058634
weight_decay,0,5,-0.01637853430999675,0.1318489606058634
weight_decay,0,6,-0.03392235749726413,0.1318489606058634
weight_decay,0,7,-0.007028347328092266,0.1318489606058634
weight_decay,0,8,0.014464457164031413,0.1318489606058634
weight_decay,0,9,0.0008929171668194125,0.1318489606058634
weight_decay,0,10,-0.008149057472603138,0.1318489606058634
weight_decay,0,11,0.005107485011107832,0.1318489606058634
