edge_index,local_axis,mid_X_m,mid_Y_m,mid_Z_m,dir_X,dir_Y,dir_Z
19941,local y,-8.2836,2.1146994128403923e-14,-109.6176078,1.0681033426350976e-14,-1.0,-1.0076304621324653e-14
20348,local y,-7.701185620544247,-0.37767400000001006,-110.40064703722999,-2.504690794817951e-16,1.0,4.818029550831958e-29
20755,local y,-8.2836,2.2626814908375882e-14,-117.03760779999999,6.130093242952448e-15,-1.0,-5.7107197153960514e-15
21162,local y,0.5240000000000145,-1.628308987619464,-117.29041194179298,-0.0,-0.0,1.0
21569,local y,-2.872,-0.37767400000001006,-119.49189545860499,-0.0,1.0,0.0
21976,local y,-6.69,-0.37767400000001,-121.95765860215053,-0.0,1.0,0.0
22383,local y,-7.812,4.170375343889104e-16,-120.56099999999999,0.0,1.0,1.8053572917267987e-15
22790,local y,0.0,0.0,-125.26968082829549,-0.0,1.0,-0.0
23197,local y,-8.336,-0.5335102387626807,-130.7928164737839,0.0,0.7317675899138487,-0.6815542490159362
23604,local y,-4.94,-0.5984740000000001,-130.21999999999997,-0.0,-0.0,1.0
24011,local y,-7.812,2.617710451107667e-14,-134.8296808282955,0.0,1.0,1.8053572917269927e-15
24417,local y,-3.426861011133025,-0.37767400000001,-4.78,0.0,1.0,-0.0
24824,local y,0.52400000000001,-0.09290819101016015,-2.2902468209729188,1.2246467991473527e-16,-0.7317675899138189,-0.6815542490159683
25231,local y,-2.724387731563086,-0.37767400000000506,-9.56,3.346938917677695e-14,1.0,-0.0
25638,local y,0.52400000000001,-2.226,-7.340319171704511,-0.0,1.0,0.0
26045,local y,-4.94,-0.37767400000001,-13.261021505376352,-0.0,1.0,0.0
26452,local y,-3.426861011133025,-0.37767400000001,-14.67,0.0,1.0,-0.0
26859,local y,-8.074000000000003,8.08643819496666e-15,-17.068671000000005,2.1054376379538517e-14,-1.0,1.3008240162797455e-14
27266,local y,-7.864400000000002,7.789787038829638e-15,-22.2377342,-6.948069783926824e-14,-1.0,-4.3548882480203546e-14
27673,local y,0.52400000000001,4.0202551330034834e-15,-25.792842000000004,0.0,1.0,3.614413594118424e-16
28080,local y,0.0,-7.843284974534657,-23.145877296019247,0.0,0.7037667801079233,-0.7104310798497807
28487,local y,-4.2161999999999935,-0.37767400000001,-27.073471070308617,0.0,1.0,0.0
28894,local y,-8.336,3.363192074448241e-15,-23.974945288831158,0.0,1.0,3.614413594118733e-16
29301,local y,0.52400000000001,5.599392432273958e-15,-30.161842000000004,0.0,1.0,3.6144135941187118e-16
29708,local y,-8.2836,-17.092913958612904,-29.183530813936898,3.38999396832106e-14,1.0,0.0
30115,local y,-7.864400000000001,1.5684475001792454e-14,-36.87973420000001,-7.583355327939414e-14,-1.0,7.29146288220631e-14
30522,local y,-8.2836,8.032959601763478e-15,-40.5196078,-1.80820942165368e-14,-1.0,-1.1440253268234108e-14
30929,local y,0.52400000000001,8.486224569896591e-15,-38.148842,0.0,1.0,3.614413594118806e-16
31336,local y,-8.336,-8.09209277502036,-44.136110584638004,-0.0,1.0,-0.0
31743,local y,0.52400000000001,9.950423516874092e-15,-42.199842000000004,0.0,1.0,3.6144135941187226e-16
32150,local y,-8.336,1.052511527833897e-14,-43.78984200000001,0.0,1.0,3.6144135941181684e-16
32557,local y,0.36680000000000706,1.3125591910062235e-14,-51.4181394,1.0602463990667791e-14,-1.0,1.0000935240787063e-14
32964,local y,0.52400000000001,1.5929484087224422e-14,-55.601842000000005,-0.0,1.0,-1.1649389026962749e-14
33371,local y,-4.94,-0.37767400000001006,-53.4107183105298,-0.0,1.0,-0.0
33778,local y,-7.812,-8.09209277502036,-51.77052458463801,-0.0,1.0,-0.0
34185,local y,-4.94,-0.37767400000001006,-64.61113766832128,-0.0,1.0,-0.0
34592,local y,0.52400000000001,-8.092092775020358,-56.46911058463802,-0.0,1.0,-0.0
34999,local y,-8.178799999999994,2.5798477195074262e-14,-73.3141394,-1.9675989478302552e-14,-1.0,-1.2435957204834196e-14
35406,local y,-3.40777476411343,-8.09209277502036,-54.037364583049936,0.5407484483282952,0.0,0.8411843529396754
35813,local y,-7.969200000000001,-8.092092775020365,-64.664900384638,-3.2674810796088606e-14,-1.0,-2.444582642562357e-14
36220,local y,0.36680000000000734,-8.092092775020365,-60.944734784638,2.9878065270711935e-14,-1.0,2.4952082334235832e-14
36626,local y,-8.335999999999999,-8.092092775020355,-68.129110584638,-2.982460889301709e-26,1.0,-3.8616453030422856e-13
37033,local y,0.52400000000001,-8.092092775020353,-63.797347584638004,-0.0,1.0,-0.0
37440,local y,-8.336,1.106919635649106e-14,-75.05984199999997,0.0,1.0,2.611495503162388e-16
37847,local y,-3.802599999999998,-0.37767400000001,-78.84909565089707,0.0,1.0,-0.0
38254,local y,0.52400000000001,1.677568943399856e-14,-79.875842,0.0,1.0,3.8711304895749004e-13
38661,local y,-7.677468623019417,-7.952737887196735,-76.282915415362,-0.7194483330006599,0.6945459640243913,-0.0
39068,local y,-2.872,-0.37767400000001006,-83.43776003000562,-0.0,1.0,0.0
39475,local y,-6.551385361658456,-0.37767400000001006,-86.282915415362,-2.0023553029976216e-16,1.0,-0.0
39882,local y,-4.94,-0.37767400000001006,-88.01899096864187,-0.0,1.0,-0.0
