trial_id,variant,seed,case_id,quantity,axis,band_low_hz,band_high_hz,predicted_energy,target_energy,relative_energy_error
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,10.0,20.0,4.553506334019955e-10,4.389465615851994e-10,0.037371455326030735
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,0.0,0.5,3.8252635829929054e-08,1.1382699658979797e-11,3359.594320851785
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,0.5,1.0,1.3641484232346985e-10,1.165328267318061e-10,0.17061300364249396
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,1.0,2.0,2.0828122417815229e-07,2.0863415787670136e-07,0.001691639097552054
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,2.0,5.0,3.670850883856441e-08,3.6611606528861337e-08,0.0026467647527753813
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,5.0,10.0,3.863137915190543e-10,3.719556870043029e-10,0.03860165341304561
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,10.0,20.0,1.010290021569215e-10,8.914933105901207e-11,0.13325586358068953
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,0.0,0.5,3.7815292568129327e-07,3.589593051480441e-07,0.053470185221506455
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,0.5,1.0,1.4348247227223767e-09,1.8155075453912883e-09,0.20968396613678889
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,1.0,2.0,5.446717491869879e-10,7.94379676295443e-10,0.3143432977451761
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,2.0,5.0,2.1947324011831733e-10,1.0308723313063379e-10,1.1290050518690062
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,5.0,10.0,9.104641897585124e-11,1.567744005377963e-10,0.41925200374852584
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,10.0,20.0,3.2716865553634663e-11,2.4456365011735548e-11,0.3377648533596575
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,0.0,0.5,0.0001330423452841937,0.00012850553811204112,0.035304370837286665
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,0.5,1.0,1.1845545961087281e-07,1.1323379801021719e-07,0.04611398444998255
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,1.0,2.0,5.920547530818129e-08,5.9517148726312836e-08,0.00523669941859558
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,2.0,5.0,2.893999235276541e-08,2.3081403294345633e-08,0.25382291465159684
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,5.0,10.0,1.5829447583411845e-08,4.91744375097457e-09,2.219039888412484
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,10.0,20.0,1.9586830528644026e-09,9.617325507301159e-10,1.036619277758078
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,0.0,0.5,6.717858111726484e-05,6.541887219228547e-05,0.02689910213993087
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,0.5,1.0,4.136863436877891e-08,1.103196035032668e-08,2.749889689147939
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,1.0,2.0,8.416370942946208e-08,6.344954060536315e-08,0.3264668053774379
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,2.0,5.0,5.758589436551425e-08,1.659843344230413e-08,2.4693571875732627
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,5.0,10.0,4.8801952133406585e-08,4.67403342242218e-09,9.44107898315293
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,10.0,20.0,7.2863330124526815e-09,3.51789803862949e-10,19.712177932511388
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,0.0,0.5,5.01324233956647e-07,5.516270073049776e-07,0.09118983059602022
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,0.5,1.0,1.9329265887019834e-09,2.6425469361976904e-09,0.26853651595561284
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,1.0,2.0,6.656031166141257e-10,1.0652799264414173e-09,0.3751847752941498
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,2.0,5.0,2.0893673355885374e-10,1.2007924176110564e-10,0.7399904470959905
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,5.0,10.0,1.222229969132223e-10,2.421480904962731e-10,0.4952551694183051
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,10.0,20.0,3.51302820834687e-11,2.67532632169816e-11,0.31312138629764613
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,0.0,0.5,0.00018881098899301604,0.0002007857454416307,0.05963947501490221
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,0.5,1.0,1.7344317125459157e-07,1.7679895792543228e-07,0.01898080571411549
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,1.0,2.0,7.774606244388155e-08,8.541226320347732e-08,0.08975527016925669
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,2.0,5.0,3.099373389262759e-08,2.3998659663271756e-08,0.29147770448452576
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,5.0,10.0,1.714248748225827e-08,6.726764939776492e-09,1.5483999568487756
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,10.0,20.0,2.238964123155014e-09,1.2725528601664025e-09,0.7594272059254505
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,0.0,0.5,9.490432995141226e-05,0.00010217093100810185,0.07112200099374028
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,0.5,1.0,7.813808522965723e-08,1.6222198527585216e-08,3.8167383167445808
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,1.0,2.0,1.044974916404288e-07,7.333074337598316e-08,0.4250161232465179
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,2.0,5.0,5.168942255252406e-08,1.6702495378539324e-08,2.0947125792316448
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,5.0,10.0,4.640778949026646e-08,7.928123977584055e-09,4.8535650579480905
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,10.0,20.0,7.790213260183531e-09,4.510351040059506e-10,16.27185576243031
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,0.0,0.5,1.2371338961122832e-06,1.268387152141322e-06,0.024640155000211245
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,0.5,1.0,1.3319947624294793e-09,1.7629256348753165e-09,0.2444407545734707
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,1.0,2.0,1.2827881688697762e-09,2.1351379675303216e-09,0.3992012748695786
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,2.0,5.0,3.7595607483406793e-10,1.884793871189115e-10,0.9946800580207614
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,5.0,10.0,2.2203041312482942e-10,4.704701410404318e-10,0.5280669403719963
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,10.0,20.0,4.826625045235096e-11,3.485280248326182e-11,0.38485995424703645
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,0.0,0.5,0.00046275259273973455,0.0004695838263862466,0.014547421062353912
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,0.5,1.0,1.338893707384436e-07,1.1866850715328938e-07,0.12826371503513356
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,1.0,2.0,1.779342369587638e-07,1.90385693022588e-07,0.065401217214084
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,2.0,5.0,5.356647752618498e-08,2.7620056492644506e-08,0.9394050674896434
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,5.0,10.0,3.6571536671446765e-08,1.3184399445082276e-08,1.7738492620600774
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,10.0,20.0,3.973828904997426e-09,2.4147161023314873e-09,0.6456712659349746
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,0.0,0.5,0.0002349592011124531,0.00023888326019711736,0.01642668088766987
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,0.5,1.0,1.46868688704851e-07,1.034750835482965e-08,13.193628424209075
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,1.0,2.0,1.855602539530796e-07,1.0722258223860516e-07,0.7306079566349897
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,2.0,5.0,1.8089459702760483e-07,1.7340363753090116e-08,9.431995522318195
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,5.0,10.0,1.0624061117571821e-07,1.795506796924303e-08,4.91702639932681
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,10.0,20.0,1.597935885311864e-08,8.849472001420793e-10,17.056850002523465
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,X,0.0,0.5,7.200691896129e-07,7.870567723580312e-07,0.08511150033616471
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,X,0.5,1.0,2.6435713466551598e-09,3.6516454999962704e-09,0.27606024553646846
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,X,1.0,2.0,8.51681958374743e-10,1.3992539493625435e-09,0.3913313885855082
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,X,2.0,5.0,2.2160314330848455e-10,1.4040175627722783e-10,0.5783502228485087
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,X,5.0,10.0,1.5657289344109959e-10,3.4910913589940415e-10,0.5515073157918844
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,X,10.0,20.0,3.820002021245045e-11,2.969852170225405e-11,0.28625998948463344
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Y,0.0,0.5,0.00027366445527779974,0.0002891282888579702,0.05348433265126409
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Y,0.5,1.0,2.4590044477089905e-07,2.5456940041581983e-07,0.03405340795382594
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Y,1.0,2.0,1.0290307432692157e-07,1.1731460817128008e-07,0.12284517733134796
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Y,2.0,5.0,3.5408720980731254e-08,2.5271605866338737e-08,0.40112667030372406
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Y,5.0,10.0,2.4191824275156382e-08,8.860233421219826e-09,1.7303822738143835
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Y,10.0,20.0,2.8242488281426747e-09,1.7218427302653818e-09,0.6402478452299665
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Z,0.0,0.5,0.00013763349172240006,0.00014708929475193438,0.06428614023530059
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Z,0.5,1.0,1.0215444238872456e-07,2.2545504931931016e-08,3.531033689294049
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Z,1.0,2.0,1.151680117985195e-07,8.635824939969112e-08,0.3336075314066223
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Z,2.0,5.0,6.620805521369918e-08,1.679990447339191e-08,2.940978076307582
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Z,5.0,10.0,6.707104911984419e-08,1.2988744915983604e-08,4.16378214782772
COMMON_B2,common,-1,V40_C_E1_C4_2T,total_displacement,Z,10.0,20.0,1.0637554097884778e-08,6.181320757311096e-10,16.209192849769153
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,X,0.0,0.5,2.7047022730839314e-07,2.830998234172583e-07,0.04461181203299628
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,X,0.5,1.0,1.4524183946390687e-09,1.8556322285029577e-09,0.21729188988552123
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,X,1.0,2.0,5.878862684846237e-10,6.674363384112681e-10,0.11918750201105528
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,X,2.0,5.0,2.0356992828408095e-10,1.3635880835749303e-10,0.4928989974038198
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,X,5.0,10.0,6.582077924377901e-11,6.40870637706933e-11,0.027052502815373587
