trial_id,variant,seed,case_id,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,total_displacement,Y,2.848826691454787,0.06661115736885893,0.06661115736885893,0.0,0.9834100008010864,0.0,True,True,496
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,incremental_velocity,Y,1.8929045645427334,0.09991673605328841,0.09991673605328841,0.0,0.9720147848129272,-0.0010533991735428572,True,True,496
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,total_displacement,Z,3.6077639128502854,0.06661115736885893,0.06661115736885893,0.0,0.989107608795166,0.0,True,True,508
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,incremental_velocity,Z,2.5955751379719083,0.09991673605328841,0.09991673605328841,0.0,0.9936747550964355,0.00015272758901119232,True,True,508
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,total_displacement,X,1.5858185549392507,1.1990008326394608,1.1990008326394608,0.0,0.9999219179153442,-0.00024386588484048843,True,True,496
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,incremental_velocity,X,1.9555643057568803,1.998334721065768,0.13322231473771787,1.8651124063280502,0.5128703117370605,-0.07336410135030746,True,True,496
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,total_displacement,Y,3.2177416492841724,0.06661115736885893,0.06661115736885893,0.0,0.992993175983429,0.0,True,True,496
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,incremental_velocity,Y,1.7153807266519123,0.09991673605328841,0.09991673605328841,0.0,0.9785875082015991,0.006772253196686506,True,True,496
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,total_displacement,Z,3.687933199409246,0.06661115736885893,0.06661115736885893,0.0,0.9967848658561707,0.0,True,True,508
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,incremental_velocity,Z,2.434850048314042,0.09991673605328841,0.09991673605328841,0.0,0.9943182468414307,-0.0078121814876794815,True,True,508
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,total_displacement,X,2.302656474905656,1.1990008326394608,1.1990008326394608,0.0,0.9998293519020081,-0.0003953929408453405,True,True,496
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,incremental_velocity,X,1.5627915555253369,0.13322231473771787,0.13322231473771787,0.0,0.894599437713623,-0.023576613515615463,True,True,496
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,total_displacement,Y,4.114709632160751,0.06661115736885893,0.06661115736885893,0.0,0.9953731298446655,0.0,True,True,496
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,incremental_velocity,Y,1.4061213998069915,0.09991673605328841,0.09991673605328841,0.0,0.9821731448173523,-0.0030260432977229357,True,True,496
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,total_displacement,Z,4.771283090980988,0.06661115736885893,0.06661115736885893,0.0,0.9978722929954529,0.0,True,True,508
