trial_id,variant,seed,case_id,axis,model,quantity,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
COMMON_FEM,common,-1,V40_A_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.6231822549362905,True,0.0006398323712949107
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.907175412555002,True,0.006136861895543079
COMMON_FEM,common,-1,V40_A_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.27730051418113033,True,0.0019487756099371347
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,1.0001731018905322,True,0.0056350472575882994
COMMON_FEM,common,-1,V40_A_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.24739235891518757,True,0.0014143881382346793
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.8943543207319276,True,0.0010014195700723623
COMMON_FEM,common,-1,V40_B_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.4791302541418472,True,0.0006489633817683717
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.7735682221846306,True,0.006537151962301165
COMMON_FEM,common,-1,V40_B_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.27763391887852606,True,0.002436008630341179
R4_LHS_03,physics,20260813,V40_B_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.8695453124182015,True,0.005945191701343543
COMMON_FEM,common,-1,V40_B_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2469941012157292,True,0.001794173268863969
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.8877613834247804,True,0.001422854367497863
COMMON_FEM,common,-1,V40_CPLUS_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.4351378162184862,True,0.0007060142533350132
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.7483484639773778,True,0.00960323621727739
COMMON_FEM,common,-1,V40_CPLUS_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2785949221804202,True,0.0036642800469324664
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.8662878751888223,True,0.009150446014753684
COMMON_FEM,common,-1,V40_CPLUS_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.24601036554523345,True,0.0027734929910154037
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.8722061885180549,True,0.0012084666423018023
COMMON_FEM,common,-1,V40_C_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.48694112184778815,True,0.0007113072014380193
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.8116411347570877,True,0.00837319474128629
COMMON_FEM,common,-1,V40_C_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2720179505209473,True,0.002852588385725527
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.9267468245886168,True,0.008119856073135034
COMMON_FEM,common,-1,V40_C_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.24631721043714275,True,0.0021905698850643684
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.9183384889109304,True,0.0008001264379027032
COMMON_FEM,common,-1,V52_A_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.7028334142975687,True,0.000700328705761124
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.7607855930956482,True,0.006255870057330797
COMMON_FEM,common,-1,V52_A_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3159187892301833,True,0.002718581638620731
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.7915644187571966,True,0.004090303382974551
COMMON_FEM,common,-1,V52_A_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2200141357026011,True,0.0011822432181833712
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.9330617050870122,True,0.0008955993233904642
COMMON_FEM,common,-1,V52_B_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.5613328422584568,True,0.00066921734163138
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.7400153696505798,True,0.007523631318787546
COMMON_FEM,common,-1,V52_B_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.31354074501700324,True,0.0033463267665270707
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.7518192516575696,True,0.004893782751118283
COMMON_FEM,common,-1,V52_B_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.22511927243920668,True,0.0015112784424274486
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.916558917159632,True,0.0012350099786752663
COMMON_FEM,common,-1,V52_CPLUS_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.48928059056350576,True,0.0007650096982992636
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.6748116931536017,True,0.010323156985032854
COMMON_FEM,common,-1,V52_CPLUS_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3092589969129378,True,0.004904796489436464
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.6830299395730856,True,0.00675388608701895
COMMON_FEM,common,-1,V52_CPLUS_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.21530079081167655,True,0.002197837742784821
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.913734033951576,True,0.0010387015807805549
COMMON_FEM,common,-1,V52_C_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.5407499798305884,True,0.0007127273631513689
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,Y,candidate,incremental_displacement_to_velocity,0.6721859105023419,True,0.008284443397634893
COMMON_FEM,common,-1,V52_C_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.31223793697490243,True,0.003988574268534122
