trial_id,variant,model,case_id,axis,relative_l2
R4_LHS_03,control,R4_LHS_03-control,V40_C_E3_C6_1T,Y,0.0227430585321857
R4_LHS_03,control,R4_LHS_03-control,V40_C_E3_C6_1T,Z,0.0147643636871728
R4_LHS_03,control,R4_LHS_03-control,V40_C_E4_C7_1T,X,0.0147286627131293
R4_LHS_03,control,R4_LHS_03-control,V40_C_E4_C7_1T,Y,0.0392262988693498
R4_LHS_03,control,R4_LHS_03-control,V40_C_E4_C7_1T,Z,0.0401183446479925
R4_LHS_03,control,R4_LHS_03-control,V40_C_E5_C9_1T,X,0.0134187427104576
R4_LHS_03,control,R4_LHS_03-control,V40_C_E5_C9_1T,Y,0.0412753113964437
R4_LHS_03,control,R4_LHS_03-control,V40_C_E5_C9_1T,Z,0.0393672687035406
R4_LHS_03,control,R4_LHS_03-control,V40_C_E6_C10_1T,X,0.1076078573714819
R4_LHS_03,control,R4_LHS_03-control,V40_C_E6_C10_1T,Y,0.0296232448589608
R4_LHS_03,control,R4_LHS_03-control,V40_C_E6_C10_1T,Z,0.0226966585442625
R4_LHS_03,control,R4_LHS_03-control,V40_C_E7_C11_2T,X,0.0132567061810302
R4_LHS_03,control,R4_LHS_03-control,V40_C_E7_C11_2T,Y,0.0437106137425699
R4_LHS_03,control,R4_LHS_03-control,V40_C_E7_C11_2T,Z,0.0672960530472513
R4_LHS_03,control,R4_LHS_03-control,V40_C_E8_C12_2T,X,0.0724030677133281
R4_LHS_03,control,R4_LHS_03-control,V40_C_E8_C12_2T,Y,0.0214418902374658
R4_LHS_03,control,R4_LHS_03-control,V40_C_E8_C12_2T,Z,0.0226020571971014
R4_LHS_03,control,R4_LHS_03-control,V52_A_E1_C4_2T,X,0.0846452041184649
R4_LHS_03,control,R4_LHS_03-control,V52_A_E1_C4_2T,Y,0.0202459156156515
R4_LHS_03,control,R4_LHS_03-control,V52_A_E1_C4_2T,Z,0.0266226182383997
R4_LHS_03,control,R4_LHS_03-control,V52_A_E2_C5_2T,X,0.0082312098048812
R4_LHS_03,control,R4_LHS_03-control,V52_A_E2_C5_2T,Y,0.0250378148742856
R4_LHS_03,control,R4_LHS_03-control,V52_A_E2_C5_2T,Z,0.0344374460910018
R4_LHS_03,control,R4_LHS_03-control,V52_A_E3_C6_1T,X,0.0800426531902385
R4_LHS_03,control,R4_LHS_03-control,V52_A_E3_C6_1T,Y,0.0201865896224794
R4_LHS_03,control,R4_LHS_03-control,V52_A_E3_C6_1T,Z,0.0166093114012114
R4_LHS_03,control,R4_LHS_03-control,V52_A_E4_C7_1T,X,0.0112675877263292
R4_LHS_03,control,R4_LHS_03-control,V52_A_E4_C7_1T,Y,0.0350993410419328
R4_LHS_03,control,R4_LHS_03-control,V52_A_E4_C7_1T,Z,0.0392097602201574
R4_LHS_03,control,R4_LHS_03-control,V52_A_E5_C9_1T,X,0.0118937125473204
R4_LHS_03,control,R4_LHS_03-control,V52_A_E5_C9_1T,Y,0.0342964828496925
R4_LHS_03,control,R4_LHS_03-control,V52_A_E5_C9_1T,Z,0.0394347437065408
R4_LHS_03,control,R4_LHS_03-control,V52_A_E6_C10_1T,X,0.0881608570171194
R4_LHS_03,control,R4_LHS_03-control,V52_A_E6_C10_1T,Y,0.0318270258682067
R4_LHS_03,control,R4_LHS_03-control,V52_A_E6_C10_1T,Z,0.0238203714743154
R4_LHS_03,control,R4_LHS_03-control,V52_A_E7_C11_2T,X,0.0095740163329564
R4_LHS_03,control,R4_LHS_03-control,V52_A_E7_C11_2T,Y,0.0276997184043492
R4_LHS_03,control,R4_LHS_03-control,V52_A_E7_C11_2T,Z,0.04170465859434
R4_LHS_03,control,R4_LHS_03-control,V52_A_E8_C12_2T,X,0.1917212963333082
R4_LHS_03,control,R4_LHS_03-control,V52_A_E8_C12_2T,Y,0.0399545398887341
R4_LHS_03,control,R4_LHS_03-control,V52_A_E8_C12_2T,Z,0.058769924100951
R4_LHS_03,control,R4_LHS_03-control,V52_B_E1_C4_2T,X,0.1050172341877931
R4_LHS_03,control,R4_LHS_03-control,V52_B_E1_C4_2T,Y,0.0302833842563154
R4_LHS_03,control,R4_LHS_03-control,V52_B_E1_C4_2T,Z,0.042875332542306
R4_LHS_03,control,R4_LHS_03-control,V52_B_E2_C5_2T,X,0.0109896357802647
R4_LHS_03,control,R4_LHS_03-control,V52_B_E2_C5_2T,Y,0.0408188617610928
R4_LHS_03,control,R4_LHS_03-control,V52_B_E2_C5_2T,Z,0.0564270632786121
R4_LHS_03,control,R4_LHS_03-control,V52_B_E3_C6_1T,X,0.0637172823751809
R4_LHS_03,control,R4_LHS_03-control,V52_B_E3_C6_1T,Y,0.0360211559762462
R4_LHS_03,control,R4_LHS_03-control,V52_B_E3_C6_1T,Z,0.0409805226632254
R4_LHS_03,control,R4_LHS_03-control,V52_B_E4_C7_1T,X,0.0137950811282637
R4_LHS_03,control,R4_LHS_03-control,V52_B_E4_C7_1T,Y,0.032541912871141
R4_LHS_03,control,R4_LHS_03-control,V52_B_E4_C7_1T,Z,0.0238603359941942
R4_LHS_03,control,R4_LHS_03-control,V52_B_E5_C9_1T,X,0.0116422534506034
R4_LHS_03,control,R4_LHS_03-control,V52_B_E5_C9_1T,Y,0.0222013841826444
R4_LHS_03,control,R4_LHS_03-control,V52_B_E5_C9_1T,Z,0.0148316478865366
R4_LHS_03,control,R4_LHS_03-control,V52_B_E6_C10_1T,X,0.0759314811409042
R4_LHS_03,control,R4_LHS_03-control,V52_B_E6_C10_1T,Y,0.0389497495554848
R4_LHS_03,control,R4_LHS_03-control,V52_B_E6_C10_1T,Z,0.040874661647858
