route,family,seed,physics_run_id,control_run_id,axis,scope,control,physics,relative_change,noninferior_2pct
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,P90,0.07618863440149345,0.09856119620492704,0.29364697213939084,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,worst,0.09188923992727113,0.11037682691836852,0.20119425305650607,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,pooled,0.056389246847214906,0.06004344988169906,0.06480318923898931,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,P90,0.09529663769428472,0.08149756225495025,-0.144801283373737,True
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,worst,0.11402803093143976,0.10106488015281391,-0.11368389572928828,True
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.08551815605471327,0.0931144641240117,0.08882684589736023,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,P90,0.11466918497535508,0.12779853433438806,0.1144976251628087,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,worst,0.14569816840300362,0.15173010918572774,0.041400251278654876,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Y,pooled,0.05560518780851415,0.0683847481285509,0.22982676299997973,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Y,P90,0.0704489725138029,0.07980161924285235,0.13275774500780702,False
