trial_id,route,fold,seed,case_id,active,perturbation,axis,relative_l2_vs_FEM,correct_relative_l2_vs_FEM,paired_error_change,prediction_shift_relative_l2,hard_BC_max_abs,correct_reconstruction_max_abs,applicable
R4_LHS_03,R4,3,20260813,V40_CPLUS_E3_C6_1T,True,P1_CONSISTENT_NODE_RELABEL,Y,0.07477496173964335,0.07477496073543144,1.0042119080733158e-09,4.7486105358984787e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_CPLUS_E3_C6_1T,True,P1_CONSISTENT_NODE_RELABEL,Z,0.03887492962640226,0.03887493500707852,-5.380676258714967e-09,4.873120929005381e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_CPLUS_E6_C10_1T,True,P1_CONSISTENT_NODE_RELABEL,X,0.06077670467838234,0.06077670094670242,3.731679916463282e-09,2.5215948085133277e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_CPLUS_E6_C10_1T,True,P1_CONSISTENT_NODE_RELABEL,Y,0.07024182917705148,0.07024182413536371,5.041687761719871e-09,3.9276622487705026e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_CPLUS_E6_C10_1T,True,P1_CONSISTENT_NODE_RELABEL,Z,0.03777892972587456,0.0377789180292821,1.1696592458476651e-08,4.004338052254752e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_C_E2_C5_2T,True,P1_CONSISTENT_NODE_RELABEL,X,0.116879144126024,0.11687913807894133,6.047082667937076e-09,3.199461389158387e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_C_E2_C5_2T,True,P1_CONSISTENT_NODE_RELABEL,Y,0.0501131487224954,0.05011314812331709,5.991783111336524e-10,2.788272581710771e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_C_E2_C5_2T,True,P1_CONSISTENT_NODE_RELABEL,Z,0.05608425603611449,0.05608425050730692,5.528807571486549e-09,3.453522765539674e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_C_E6_C10_1T,True,P1_CONSISTENT_NODE_RELABEL,X,0.05551122881421562,0.055511231587126994,-2.772911372739273e-09,2.752068724021228e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_C_E6_C10_1T,True,P1_CONSISTENT_NODE_RELABEL,Y,0.061161871357812835,0.06116186829001897,3.067793866162738e-09,4.311202133067127e-07,0.0,1.1920928955078125e-07,True
