outer_fold,inner_validation_fold,requested_input_rank,used_input_rank,ridge_alpha,pod_rank,pod_energy,inner_score,u_pooled_l2,v_pooled_l2,w_pooled_l2,ridge_gram_condition,finite
1,1,64,64,1e-06,24,0.9999053495481662,0.17484598353092531,0.04085764953774003,0.051042705342618136,0.11585055211616474,30235.72215963412,True
1,1,64,64,1e-08,24,0.9999053495481662,0.17484596062076782,0.04085764877216315,0.05104270644563987,0.11585055319231409,30235.72451131864,True
1,1,128,128,1e-06,24,0.9999053495481662,0.06572207519021751,0.01629208544567948,0.02268996469376793,0.036310785374887695,30410.411889924293,True
1,1,128,128,1e-08,24,0.9999053495481662,0.06572207377721508,0.016292085730223938,0.02268996348325664,0.03631078667767006,30410.414267238422,True
1,2,64,64,1e-06,24,0.9999065449552351,0.18253980612797385,0.03610602588889781,0.054031072403100955,0.10733439478237322,27549.605634678865,True
1,2,64,64,1e-08,24,0.9999065449552351,0.18253979766722703,0.036106026325458264,0.05403107199073735,0.10733439090626595,27549.607539182995,True
1,2,128,128,1e-06,24,0.9999065449552351,0.13284618470052165,0.016453873013469813,0.03446574610151926,0.03927823256454508,28988.415755506965,True
1,2,128,128,1e-08,24,0.9999065449552351,0.1328461868977354,0.01645387250084002,0.03446574717134176,0.039278233028618166,28988.417862920007,True
1,3,64,64,1e-06,24,0.9999063877837999,0.15856570664470962,0.04164950000791239,0.05162470204007772,0.11497710432904813,29301.788675051164,True
1,3,64,64,1e-08,24,0.9999063877837999,0.15856572605641162,0.04164950234307752,0.05162469759907452,0.11497710424858684,29301.790883673617,True
1,3,128,128,1e-06,24,0.9999063877837999,0.0903634596919266,0.018364354469033502,0.021531309622368912,0.03577270815912141,29646.64286179988,True
1,3,128,128,1e-08,24,0.9999063877837999,0.09036345914538506,0.01836435378387252,0.02153131092669604,0.03577271272972485,29646.645121641897,True
2,0,64,64,1e-06,24,0.9999053639375194,0.2193891059736849,0.0424099077645376,0.05880782191158332,0.10894333823192759,29002.162470842,True
2,0,64,64,1e-08,24,0.9999053639375194,0.21938909825403266,0.042409907494484755,0.05880782091419426,0.10894333822979946,29002.16458143209,True
2,0,128,128,1e-06,24,0.9999053639375194,0.19199022749857464,0.030031699582019667,0.043861470356233494,0.04791311228088857,28578.271063138774,True
2,0,128,128,1e-08,24,0.9999053639375194,0.19199022700351442,0.030031699600100773,0.043861472145727526,0.047913113313659106,28578.27311105036,True
2,1,64,64,1e-06,24,0.999902806816582,0.41988468086102504,0.03638910603914432,0.05077991324322675,0.11971981047687667,30320.613499962405,True
2,1,64,64,1e-08,24,0.999902806816582,0.41988469426438907,0.036389106488214126,0.050779912694421475,0.11971981002960823,30320.61586475162,True
2,1,128,128,1e-06,24,0.999902806816582,0.38686656111883516,0.01939829241478057,0.019647807739147406,0.0358258853059563,30434.27338368444,True
2,1,128,128,1e-08,24,0.999902806816582,0.3868665618508716,0.01939829290890416,0.019647807976395947,0.03582588832453779,30434.2757639493,True
2,2,64,64,1e-06,24,0.9999034809031819,0.20061249197469486,0.0437976206079303,0.08523941944506697,0.11247739312161287,29008.60966496025,True
2,2,64,64,1e-08,24,0.9999034809031819,0.20061247333978463,0.043797620207690485,0.08523941494948023,0.1124773858072451,29008.611776416994,True
2,2,128,128,1e-06,24,0.9999034809031819,0.17567823659175574,0.03772278826230688,0.08632611270304295,0.07492258338821356,28673.723128636862,True
2,2,128,128,1e-08,24,0.9999034809031819,0.17567823129416396,0.03772278684091006,0.0863261172604345,0.07492259184300572,28673.725190337096,True
2,3,64,64,1e-06,24,0.9999042741520834,0.19003831920739656,0.04266484443425419,0.07695685095471705,0.13611519984384446,30075.877087801273,True
2,3,64,64,1e-08,24,0.9999042741520834,0.19003837478725596,0.04266484190605031,0.07695685199947845,0.13611520019059706,30075.879414409745,True
2,3,128,128,1e-06,24,0.9999042741520834,0.08237305813423629,0.016665323545698593,0.0232104546852866,0.03639369298094394,29204.95813220061,True
2,3,128,128,1e-08,24,0.9999042741520834,0.08237306806657978,0.016665324798415516,0.023210452527231747,0.036393689829341234,29204.9603246816,True
3,0,64,64,1e-06,24,0.9999080614132294,0.4460278160912619,0.04218672965614804,0.048999491565848735,0.1048698524903894,28251.31769902614,True
3,0,64,64,1e-08,24,0.9999080614132294,0.4460278196115334,0.04218673032126075,0.04899949396262675,0.10486985557276403,28251.319701647637,True
3,0,128,128,1e-06,24,0.9999080614132294,0.3883226968177827,0.024349876479911645,0.02409758504108557,0.03178663283541364,28778.206602742743,True
3,0,128,128,1e-08,24,0.9999080614132294,0.38832269787069906,0.02434987616057392,0.024097586430602332,0.03178663347819442,28778.208678339983,True
3,1,64,64,1e-06,24,0.9999083788895827,0.1775172473827221,0.03731554191170803,0.05189849856209061,0.1244009338957573,28885.254566053558,True
3,1,64,64,1e-08,24,0.9999083788895827,0.1775172570505513,0.03731554305810844,0.05189849996574101,0.1244009390456155,28885.256659181672,True
3,1,128,128,1e-06,24,0.9999083788895827,0.06788690935953824,0.015591491537458752,0.017973350303423025,0.02375491339186572,28953.813500480366,True
3,1,128,128,1e-08,24,0.9999083788895827,0.0678869100597518,0.015591491082128721,0.01797334999777197,0.023754915302514928,28953.815601167466,True
3,2,64,64,1e-06,24,0.9999077107934564,0.165483167033099,0.040103701557629906,0.051958976920178986,0.11722409356118475,27360.575976198936,True
3,2,64,64,1e-08,24,0.9999077107934564,0.1654831726207999,0.04010370052331236,0.05195898171145482,0.11722409944098701,27360.577810183724,True
3,2,128,128,1e-06,24,0.9999077107934564,0.12525045177689534,0.028531515107162946,0.02592182565476987,0.029874881933005373,27188.288580654917,True
3,2,128,128,1e-08,24,0.9999077107934564,0.1252504587894736,0.028531515124138533,0.025921823629710412,0.029874879299338842,27188.290390130005,True
3,3,64,64,1e-06,24,0.9999102228640353,0.24207877990594176,0.057039320720787955,0.06600071491690429,0.1249831554988413,27863.384375071095,True
3,3,64,64,1e-08,24,0.9999102228640353,0.2420787842028378,0.057039321903085784,0.06600071649610695,0.12498314972307921,27863.386323263145,True
3,3,128,128,1e-06,24,0.9999102228640353,0.13701535332226536,0.026139827852223702,0.04305985152763882,0.05295433822064234,28664.21214304327,True
3,3,128,128,1e-08,24,0.9999102228640353,0.1370153587115943,0.026139827902388876,0.0430598481352854,0.05295433592192446,28664.214202319672,True
4,0,64,64,1e-06,24,0.9999037161888591,0.17148023834830659,0.042522113522134246,0.06129011969758144,0.13019402297916863,28873.37219224045,True
4,0,64,64,1e-08,24,0.9999037161888591,0.1714802211487967,0.04252211251217207,0.06129012609961837,0.13019403505059485,28873.374284185826,True
4,0,128,128,1e-06,24,0.9999037161888591,0.08463462235668394,0.01778307356804888,0.028106750683865603,0.038579198569779004,28997.48344298294,True
4,0,128,128,1e-08,24,0.9999037161888591,0.08463462565642361,0.017783073816897824,0.028106750361362627,0.03857920055233912,28997.485551515194,True
4,1,64,64,1e-06,24,0.9999072431086857,0.19706031584551298,0.040531490694990124,0.054871763536167614,0.11791763420983152,28788.72513353196,True
4,1,64,64,1e-08,24,0.9999072431086857,0.19706031663050738,0.04053148987287295,0.05487177002075133,0.11791763241274081,28788.727213177845,True
4,1,128,128,1e-06,24,0.9999072431086857,0.15375461168470902,0.018503922794928008,0.030402227691836856,0.03725035602028038,28217.202033137168,True
4,1,128,128,1e-08,24,0.9999072431086857,0.15375461056140813,0.01850392245311496,0.030402228070044734,0.03725035597158346,28217.20403006774,True
4,2,64,64,1e-06,24,0.9999073140043948,0.17577578321239964,0.038563992212093695,0.052754898993863875,0.12226177468121036,27124.848612476566,True
4,2,64,64,1e-08,24,0.9999073140043948,0.17577577631088612,0.03856399306278706,0.05275489737565364,0.12226176674883578,27124.850414862205,True
4,2,128,128,1e-06,24,0.9999073140043948,0.061138299700752956,0.015382699515882706,0.020063441325548652,0.028797738814663795,27484.992606820168,True
4,2,128,128,1e-08,24,0.9999073140043948,0.06113830174261018,0.01538270003460845,0.02006344056301409,0.02879774028851057,27484.994456453463,True
4,3,64,64,1e-06,24,0.999905881096118,0.15510571675714743,0.03214621379980573,0.05022162742201198,0.10440645005968813,28883.25612724417,True
4,3,64,64,1e-08,24,0.999905881096118,0.15510571645063406,0.032146213660983865,0.05022162619905227,0.1044064446527372,28883.258220518775,True
4,3,128,128,1e-06,24,0.999905881096118,0.1145798474814983,0.014110344416354385,0.02900183917992377,0.034609861573486,28864.60214270118,True
4,3,128,128,1e-08,24,0.999905881096118,0.11457984574528281,0.01411034440602297,0.02900183889924468,0.034609863166858976,28864.60423152207,True
