case_id,axis,reference_energy,error_energy,relative_l2,model,outer_fold
V52_C_E3_C6_1T,v,323.4249259940775,0.570051584004553,0.04198269701197193,B2_COMMON_SPLIT,2
V52_C_E3_C6_1T,w,439.6518947868335,0.6217845952427122,0.037606724148085455,B2_COMMON_SPLIT,2
V52_C_E8_C12_2T,u,0.49469607531449505,0.005604584825218354,0.10643941791164876,B2_COMMON_SPLIT,2
V52_C_E8_C12_2T,v,353.56870259458117,0.30277026348187325,0.029263057585554787,B2_COMMON_SPLIT,2
V52_C_E8_C12_2T,w,130.79971679071593,0.477425663859424,0.06041565364042493,B2_COMMON_SPLIT,2
BASE_C3_0T,u,0.028698033108296606,0.0022900981761372957,0.2824886377266519,B2_COMMON_SPLIT,3
BASE_C3_0T,v,109.42612342081159,0.020875418383796206,0.013812016458342787,B2_COMMON_SPLIT,3
BASE_C3_0T,w,33.049550198166415,0.014748942595741048,0.02112504613515033,B2_COMMON_SPLIT,3
V40_A_E2_C5_2T,u,35.25949761035586,0.007324272028266476,0.014412661040610255,B2_COMMON_SPLIT,3
V40_A_E2_C5_2T,v,275.2721997168484,0.11465374368669655,0.0204085872892392,B2_COMMON_SPLIT,3
V40_A_E2_C5_2T,w,96.19426007242738,0.2610654906491374,0.05209549328581302,B2_COMMON_SPLIT,3
V40_B_E8_C12_2T,u,0.45816264218501557,0.006974724108478822,0.12338253227520828,B2_COMMON_SPLIT,3
V40_B_E8_C12_2T,v,345.04682729298327,0.14148840699977613,0.02024983128953919,B2_COMMON_SPLIT,3
V40_B_E8_C12_2T,w,125.24026852993472,0.32581259116204,0.051004904275483834,B2_COMMON_SPLIT,3
V40_CPLUS_E3_C6_1T,u,2.6463570665656584,0.010470876523628733,0.0629024118901724,B2_COMMON_SPLIT,3
V40_CPLUS_E3_C6_1T,v,407.9944523491008,0.20646763455525946,0.02249566635671747,B2_COMMON_SPLIT,3
V40_CPLUS_E3_C6_1T,w,483.24256067098327,0.5521840804081551,0.033803319662518046,B2_COMMON_SPLIT,3
V40_CPLUS_E6_C10_1T,u,2.646392616160059,0.01777689391918417,0.08195978346845156,B2_COMMON_SPLIT,3
V40_CPLUS_E6_C10_1T,v,407.9975212821174,0.39473335663335446,0.031104494771936712,B2_COMMON_SPLIT,3
V40_CPLUS_E6_C10_1T,w,483.24495518065993,1.112172958496235,0.04797362115713619,B2_COMMON_SPLIT,3
V40_C_E2_C5_2T,u,35.544372581772535,0.011428133826037747,0.017930905941193228,B2_COMMON_SPLIT,3
V40_C_E2_C5_2T,v,426.8590154359108,0.17531731245678528,0.020266099616939,B2_COMMON_SPLIT,3
V40_C_E2_C5_2T,w,159.9004203114088,0.36806753008241866,0.04797764766366281,B2_COMMON_SPLIT,3
V40_C_E6_C10_1T,u,1.6428521138106975,0.012570683940009408,0.08747424810959609,B2_COMMON_SPLIT,3
V40_C_E6_C10_1T,v,352.6316643842625,0.3350760051412529,0.030825562553601905,B2_COMMON_SPLIT,3
V40_C_E6_C10_1T,w,452.41936108370527,0.9166446343559378,0.045012165733429484,B2_COMMON_SPLIT,3
V52_A_E7_C11_2T,u,35.221771989254734,0.00372554595298115,0.010284646328602317,B2_COMMON_SPLIT,3
V52_A_E7_C11_2T,v,237.1476802854641,0.08009100873331088,0.01837733115806042,B2_COMMON_SPLIT,3
V52_A_E7_C11_2T,w,81.80316524492099,0.22375713558112673,0.05230020518811541,B2_COMMON_SPLIT,3
